Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	5912826.7753814543	2475.5737304688
57683.3428937100	5913245.3994698124	2475.6079101562
57683.3446759300	5920624.7401976194	2477.0219726562
57683.3464585200	5922654.7922251439	2477.2360839844
57683.3482407400	5923731.7825934794	2477.2932128906
57683.3500233400	5923246.7963491445	2477.1042480469
57683.3518059300	5927839.1952777533	2478.2128906250
57683.3535881500	5929088.2595519405	2478.4177246094
57683.3553703700	5926404.8717788812	2477.7302246094
57683.3571529700	5925358.7115602214	2477.5080566406
57683.3589351900	5929121.0604477972	2478.2993164062
57683.3607177800	5930484.8978351345	2478.5952148438
57683.3625000000	5931502.2916450538	2478.7082519531
57683.3637651900	2976637.8491252186	1762.8594970703
57683.4012848200	5922116.0220717713	2478.9479980469
57683.4030670400	5929740.8246692996	2479.7551269531
57683.4048496300	5931409.5947855217	2479.8410644531
57683.4066318600	5932602.1684071040	2479.6032714844
57683.4084144500	5928937.4595358688	2478.7558593750
57683.4101966700	5929539.9401312359	2478.6369628906
57683.4119792600	5929448.8684650231	2478.6687011719
57683.4137614800	5928803.7972574569	2478.2949218750
57683.4155440800	5930493.0963949328	2478.6145019531
57683.4173263000	5929716.7122309403	2478.4086914062
57683.4191088900	5927647.1587124122	2477.9792480469
57683.4208911100	5927352.8286120770	2477.9196777344
57683.4226737100	5934917.3130517500	2479.4331054688
57683.4244559300	5929657.8894516770	2478.3806152344
57683.4262385200	5934065.3204300217	2479.3383789062
57683.4280207400	5932144.7290606555	2478.6953125000
57683.4298033400	5931825.1536033321	2478.7426757812
57683.4675233400	5847495.2862921199	2464.0686035156
57683.4693055600	5846476.4840267096	2463.0349121094
57683.4710881500	5840489.8994627688	2461.3278808594
57683.4728703700	5837581.3350465214	2460.1413574219
57683.4746529700	5836699.5265762061	2460.1542968750
57683.4764351900	5837573.4094452495	2460.1323242188
57683.4782177800	5829577.0270730043	2458.5549316406
57683.4800000000	5828139.5503693204	2458.0385742188
57683.4817826000	5831272.2891080966	2458.4135742188
57683.4835648200	5828050.9433981404	2457.7521972656
57683.4853474100	5831848.9450857360	2458.6530761719
57683.4871296300	5829710.3259433508	2458.1291503906
57683.4889122300	5833898.1160975201	2459.0083007812
57683.4906944500	5834667.9026884045	2459.2006835938
57683.4924770400	5832707.3746853350	2458.7177734375
57683.4942592600	5842286.2742643179	2460.7182617188
57683.4960418600	5841955.0364755793	2460.6455078125
57683.5337614800	5927037.6533005154	2480.3955078125
57683.5355440800	5925831.5218956247	2479.4016113281
57683.5373263000	5929430.2074741302	2479.4377441406
57683.5391088900	5924177.4600168839	2478.1333007812
57683.5408911100	5928177.0701394174	2478.6975097656
57683.5426737100	5922396.9953835551	2477.3156738281
57683.5444559300	5930498.5008756807	2478.7656250000
57683.5462385200	5929478.3920289353	2478.4511718750
57683.5480207400	5927105.1931517962	2477.9538574219
57683.5498033400	5927387.0714265658	2477.9660644531
57683.5515855600	5926073.5046627615	2477.8190917969
57683.5533681500	5928298.4107473865	2477.9655761719
57683.5551503700	5925517.0689505506	2477.6745605469
57683.5569329700	5926461.8088209098	2477.7016601562
57683.5587151900	5926755.0103550181	2477.7529296875
57683.5604977800	5933654.4488835968	2479.0947265625
57683.5622800000	5926853.4605355598	2477.7778320312
