Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	4753252.1181460740	2228.6386718750
57683.3428937100	4755795.7682693070	2228.8784179688
57683.3446759300	4753976.0971573582	2228.4716796875
57683.3464585200	4761825.5350647410	2230.2802734375
57683.3482407400	4762868.6378176101	2230.0314941406
57683.3500233400	4765607.4555051541	2230.5615234375
57683.3518059300	4765900.1182314092	2230.8771972656
57683.3535881500	4764605.9902806422	2230.2663574219
57683.3553703700	4765678.1737038260	2230.4580078125
57683.3571529700	4768449.3583419863	2230.9218750000
57683.3589351900	4766158.9133756869	2230.7114257812
57683.3607177800	4768931.9734936934	2231.1464843750
57683.3625000000	4769336.2079911903	2231.3920898438
57683.3637651900	2399902.7080634134	1589.9604492188
57683.4012848200	4765525.9930393184	2233.3432617188
57683.4030670400	4768747.5047903415	2233.4533691406
57683.4048496300	4769985.7259421004	2232.8415527344
57683.4066318600	4770895.8230293766	2232.9411621094
57683.4084144500	4767871.3380027246	2232.1279296875
57683.4101966700	4769559.0711964006	2232.1059570312
57683.4119792600	4771121.8548274506	2232.3000488281
57683.4137614800	4769648.3278299514	2231.9619140625
57683.4155440800	4773558.9746904261	2232.6748046875
57683.4173263000	4772537.9862273326	2232.1931152344
57683.4191088900	4770462.3959524706	2231.7687988281
57683.4208911100	4770886.9020143449	2232.0031738281
57683.4226737100	4775134.2567548165	2232.8215332031
57683.4244559300	4768809.9526199112	2231.2119140625
57683.4262385200	4766193.0066286214	2230.7922363281
57683.4280207400	4771578.2500042869	2231.9343261719
57683.4298033400	4767906.9816643894	2231.0778808594
57683.4675233400	4707254.7943363469	2220.5703125000
57683.4693055600	4704764.3361905953	2218.9621582031
57683.4710881500	4696465.7838135064	2216.3586425781
57683.4728703700	4697114.7014627969	2216.1936035156
57683.4746529700	4691959.6859384216	2214.9150390625
57683.4764351900	4693570.2034699824	2215.0268554688
57683.4782177800	4689519.5379771693	2214.0617675781
57683.4800000000	4684497.0529143391	2212.6225585938
57683.4817826000	4686693.4703752631	2212.9196777344
57683.4835648200	4689338.4649101766	2213.5688476562
57683.4853474100	4687974.5903781662	2213.2324218750
57683.4871296300	4691926.2764913207	2214.2082519531
57683.4889122300	4687476.5014246106	2213.1135253906
57683.4906944500	4689208.2372551737	2213.6572265625
57683.4924770400	4693582.1001444012	2214.3918457031
57683.4942592600	4692858.5268137455	2214.1293945312
57683.4960418600	4697579.5646249540	2215.2883300781
57683.5337614800	4768535.3970055413	2234.6994628906
57683.5355440800	4769187.2830812391	2233.8532714844
57683.5373263000	4768775.8927815119	2233.2277832031
57683.5391088900	4771755.3030294981	2233.4853515625
57683.5408911100	4765752.2298474871	2231.8100585938
57683.5426737100	4768269.4950167490	2232.0773925781
57683.5444559300	4768309.4305698266	2231.9787597656
57683.5462385200	4769517.7210370107	2232.1491699219
57683.5480207400	4769075.4334389213	2231.7961425781
57683.5498033400	4771253.7098220997	2232.2321777344
57683.5515855600	4767627.6293721674	2231.3972167969
57683.5533681500	4767748.0328119723	2231.2204589844
57683.5551503700	4768772.6199323572	2231.4094238281
57683.5569329700	4769350.4920264417	2231.6115722656
57683.5587151900	4768205.8831510898	2231.1242675781
57683.5604977800	4767194.9755182471	2231.1733398438
57683.5622800000	4770410.6902451543	2231.9470214844
