Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	5619891.4528823849	2415.7951660156
57683.3428937100	5622480.1785355741	2416.1772460938
57683.3446759300	5621661.7161455341	2415.9182128906
57683.3464585200	5627287.2616197262	2416.9284667969
57683.3482407400	5633219.1101466957	2417.9663085938
57683.3500233400	5630259.5718373992	2417.2966308594
57683.3518059300	5633314.5416832976	2417.8735351562
57683.3535881500	5632080.2210415788	2417.6379394531
57683.3553703700	5632001.6335713277	2417.4760742188
57683.3571529700	5633931.1578566609	2417.8779296875
57683.3589351900	5636627.4701993885	2418.4355468750
57683.3607177800	5639755.9829824809	2419.0080566406
57683.3625000000	5640376.6986469571	2419.0673828125
57683.3637651900	2841138.7402682807	1724.1809082031
57683.4012848200	5630330.7063909872	2419.7299804688
57683.4030670400	5636825.7337423787	2420.2753906250
57683.4048496300	5635690.8394153332	2419.9118652344
57683.4066318600	5634693.0899895299	2419.2390136719
57683.4084144500	5636039.8585526142	2419.3967285156
57683.4101966700	5645681.3655441198	2421.0290527344
57683.4119792600	5638057.1268564044	2419.4274902344
57683.4137614800	5636657.4224372385	2418.8630371094
57683.4155440800	5634152.1620384092	2418.3547363281
57683.4173263000	5637331.4718422173	2419.0175781250
57683.4191088900	5637075.7960135452	2418.9111328125
57683.4208911100	5639548.0705377767	2419.1813964844
57683.4226737100	5636499.7960105455	2418.7172851562
57683.4244559300	5639379.7740019411	2418.9057617188
57683.4262385200	5635529.3397799628	2418.3056640625
57683.4280207400	5636496.8574024979	2418.5510253906
57683.4298033400	5638611.3799160300	2418.9953613281
57683.4675233400	5560652.2637135182	2405.6979980469
57683.4693055600	5557284.9758900451	2404.2822265625
57683.4710881500	5550972.0352093959	2402.3620605469
57683.4728703700	5551433.6848382428	2402.1516113281
57683.4746529700	5552542.0133109242	2402.1062011719
57683.4764351900	5544840.5889624180	2400.4919433594
57683.4782177800	5543134.9379433217	2399.9182128906
57683.4800000000	5542222.1890364317	2399.4333496094
57683.4817826000	5542438.4453420620	2399.3154296875
57683.4835648200	5542027.3422293896	2399.1557617188
57683.4853474100	5541911.9602410980	2399.0891113281
57683.4871296300	5545253.1530699115	2399.7839355469
57683.4889122300	5542518.6497781640	2399.2658691406
57683.4906944500	5544822.3615688719	2399.6533203125
57683.4924770400	5549474.3479054794	2400.6403808594
57683.4942592600	5552956.0200080136	2401.3889160156
57683.4960418600	5550656.2290621158	2400.8762207031
57683.5337614800	5632382.3717585756	2421.0822753906
57683.5355440800	5632398.0461884877	2420.1496582031
57683.5373263000	5635771.0473718308	2420.2646484375
57683.5391088900	5632677.8743654154	2419.2900390625
57683.5408911100	5634423.7288514245	2419.3706054688
57683.5426737100	5634726.4586886456	2419.2106933594
57683.5444559300	5634454.4761022832	2418.9062500000
57683.5462385200	5637806.4561580289	2419.4333496094
57683.5480207400	5634726.4790956248	2418.7238769531
57683.5498033400	5631544.2916392302	2417.9912109375
57683.5515855600	5632959.1196459085	2418.2419433594
57683.5533681500	5635832.9519054135	2418.8796386719
57683.5551503700	5633607.9524105992	2418.1765136719
57683.5569329700	5634598.7183435392	2418.4145507812
57683.5587151900	5636837.7627117494	2419.0742187500
57683.5604977800	5632949.9124919642	2418.0229492188
57683.5622800000	5631581.9745353311	2417.8630371094
