Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	4885703.6205113819	2258.2353515625
57683.3428937100	4894572.3013857240	2260.1098632812
57683.3446759300	4897518.8045670064	2260.6743164062
57683.3464585200	4899090.8986595236	2261.0620117188
57683.3482407400	4898831.8292481694	2260.5874023438
57683.3500233400	4906651.4811293567	2262.2270507812
57683.3518059300	4906859.0981637482	2262.1591796875
57683.3535881500	4905221.0184918763	2261.8654785156
57683.3553703700	4904970.7813666761	2261.5705566406
57683.3571529700	4911755.7664687373	2263.2009277344
57683.3589351900	4907855.0515188482	2262.1108398438
57683.3607177800	4912850.8752031904	2263.3452148438
57683.3625000000	4907318.2736461852	2262.0312500000
57683.3637651900	2464589.1728408365	1610.3253173828
57683.4012848200	4902508.5560962707	2263.8962402344
57683.4030670400	4908573.5212515388	2264.6474609375
57683.4048496300	4904878.0344556188	2263.2822265625
57683.4066318600	4911903.7408223506	2264.5537109375
57683.4084144500	4909860.8535230327	2263.8371582031
57683.4101966700	4910714.2037514802	2263.8105468750
57683.4119792600	4910424.1292349109	2263.4228515625
57683.4137614800	4909669.3371191379	2263.2661132812
57683.4155440800	4910648.8477142854	2263.2529296875
57683.4173263000	4910462.6115308385	2263.0869140625
57683.4191088900	4908400.1768814214	2262.6657714844
57683.4208911100	4910349.5755317230	2263.1650390625
57683.4226737100	4912130.1752214013	2263.5402832031
57683.4244559300	4906084.7197335716	2262.0270996094
57683.4262385200	4913784.4891894804	2263.6796875000
57683.4280207400	4909794.0794224078	2262.8234863281
57683.4298033400	4911151.6739445170	2263.1455078125
57683.4675233400	4843699.7422366431	2251.5266113281
57683.4693055600	4837544.8712448068	2248.9328613281
57683.4710881500	4836555.2269768864	2248.2951660156
57683.4728703700	4828584.9027782781	2246.0859375000
57683.4746529700	4829003.5838021711	2245.6638183594
57683.4764351900	4846281.8903677510	2249.4184570312
57683.4782177800	4823642.3235497447	2244.3977050781
57683.4800000000	4828365.6192048732	2245.3435058594
57683.4817826000	4827653.3375463607	2244.8906250000
57683.4835648200	4822916.2502513025	2243.9726562500
57683.4853474100	4829553.8651232077	2245.3603515625
57683.4871296300	4824250.9591512084	2244.0441894531
57683.4889122300	4826404.3283749279	2244.5771484375
57683.4906944500	4829397.0579447076	2245.0222167969
57683.4924770400	4831710.4302343847	2245.5634765625
57683.4942592600	4837022.7408192437	2246.8806152344
57683.4960418600	4838283.7251877319	2247.0349121094
57683.5337614800	4904971.0746888081	2265.3662109375
57683.5355440800	4905467.6940217353	2264.5183105469
57683.5373263000	4902342.2018227372	2263.3889160156
57683.5391088900	4909157.8074759264	2264.4296875000
57683.5408911100	4907136.0669531971	2263.7944335938
57683.5426737100	4907088.0768167749	2263.3593750000
57683.5444559300	4909081.7037920933	2263.6955566406
57683.5462385200	4906905.5483625922	2263.0598144531
57683.5480207400	4902454.8699949468	2261.8803710938
57683.5498033400	4907208.0066830842	2262.8276367188
57683.5515855600	4909623.2027542004	2263.3403320312
57683.5533681500	4904596.0237331893	2262.1918945312
57683.5551503700	4912052.2751950677	2263.5895996094
57683.5569329700	4909221.0708534503	2262.7858886719
57683.5587151900	4908486.2427725112	2262.8627929688
57683.5604977800	4905565.1494824775	2262.2314453125
57683.5622800000	4904765.4463199023	2262.0131835938
