Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	4495533.7000584444	2169.6335449219
57683.3428937100	4491649.5423304904	2168.5778808594
57683.3446759300	4495796.8127398230	2169.4870605469
57683.3464585200	4499583.4947374351	2170.3740234375
57683.3482407400	4505520.0210158518	2171.2050781250
57683.3500233400	4507698.0855692485	2171.5974121094
57683.3518059300	4502498.0417529568	2170.5671386719
57683.3535881500	4505228.1132401722	2170.7602539062
57683.3553703700	4504912.1741509596	2170.6452636719
57683.3571529700	4507925.0135650020	2171.2285156250
57683.3589351900	4505523.3134840904	2170.6049804688
57683.3607177800	4507796.7094061924	2171.0825195312
57683.3625000000	4504408.0149056194	2170.4206542969
57683.3637651900	2265466.2933940431	1546.3842773438
57683.4012848200	4509639.3446736075	2175.1579589844
57683.4030670400	4509818.1369663831	2174.6384277344
57683.4048496300	4504324.7783229407	2172.8024902344
57683.4066318600	4512212.0329797361	2174.0852050781
57683.4084144500	4516938.9121443192	2174.9575195312
57683.4101966700	4511034.2088313261	2173.2451171875
57683.4119792600	4510597.6418218296	2173.2060546875
57683.4137614800	4510104.9619539883	2172.8554687500
57683.4155440800	4513602.6603061268	2173.5104980469
57683.4173263000	4510147.3344011791	2172.6877441406
57683.4191088900	4511402.9358981475	2172.6745605469
57683.4208911100	4513637.7461953955	2173.0510253906
57683.4226737100	4510086.8621478062	2172.1547851562
57683.4244559300	4509006.0651266035	2171.8178710938
57683.4262385200	4512541.8060514219	2172.6328125000
57683.4280207400	4513404.5754851531	2172.9077148438
57683.4298033400	4506806.6951284222	2171.2543945312
57683.4675233400	4448873.4875577176	2161.6181640625
57683.4693055600	4445589.6104074437	2160.0424804688
57683.4710881500	4443642.3489381298	2158.9226074219
57683.4728703700	4438520.4019255703	2157.3229980469
57683.4746529700	4421249.6385654397	2152.6960449219
57683.4764351900	4436695.9160752613	2156.4296875000
57683.4782177800	4434303.8299762774	2155.7268066406
57683.4800000000	4434023.9810776822	2155.4731445312
57683.4817826000	4435348.3643387826	2155.3930664062
57683.4835648200	4436191.6727647865	2155.6235351562
57683.4853474100	4436962.7752013719	2155.4860839844
57683.4871296300	4431520.2631776966	2154.2758789062
57683.4889122300	4433043.2478756178	2154.6372070312
57683.4906944500	4436933.2434401643	2155.5373535156
57683.4924770400	4433926.4159503561	2154.7778320312
57683.4942592600	4437461.4278105414	2155.6135253906
57683.4960418600	4440862.5671955412	2156.3359375000
57683.5337614800	4505164.3204895249	2175.3574218750
57683.5355440800	4504737.8386080302	2174.1706542969
57683.5373263000	4509640.6328733116	2174.8937988281
57683.5391088900	4508889.4248632537	2174.2700195312
57683.5408911100	4504378.3123303913	2172.8767089844
57683.5426737100	4507859.9924838413	2173.4086914062
57683.5444559300	4506363.7346782126	2172.7817382812
57683.5462385200	4511752.8646177910	2173.8842773438
57683.5480207400	4511895.3068176927	2173.7827148438
57683.5498033400	4507444.5680435505	2172.5314941406
57683.5515855600	4505438.9911968345	2171.8347167969
57683.5533681500	4504280.3642708734	2171.4726562500
57683.5551503700	4507206.4759852178	2172.1398925781
57683.5569329700	4510303.2757067010	2172.9255371094
57683.5587151900	4508350.5831692796	2172.2143554688
57683.5604977800	4507033.4797170758	2172.1596679688
57683.5622800000	4501961.1863300418	2170.7854003906
