Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	5328852.4527047956	2326.5581054688
57683.3428937100	5332523.1808122657	2327.0646972656
57683.3446759300	5340023.3263360364	2328.6496582031
57683.3464585200	5341291.3752411827	2328.6726074219
57683.3482407400	5349456.7319739787	2330.4738769531
57683.3500233400	5347944.5822876291	2330.0534667969
57683.3518059300	5353066.9334537825	2331.2067871094
57683.3535881500	5347228.2324161446	2330.2253417969
57683.3553703700	5348486.5840931498	2330.2172851562
57683.3571529700	5352639.2183205513	2331.0842285156
57683.3589351900	5353378.4173842119	2331.5139160156
57683.3607177800	5352427.3950079512	2331.2995605469
57683.3625000000	5352693.7979563419	2331.2065429688
57683.3637651900	2690956.2242084891	1657.8554687500
57683.4012848200	5352255.2920235945	2332.5000000000
57683.4030670400	5350574.2377751032	2331.6701660156
57683.4048496300	5356262.5881123124	2332.2595214844
57683.4066318600	5349933.0171982404	2330.7524414062
57683.4084144500	5354283.1373009607	2331.4899902344
57683.4101966700	5350859.6068024719	2330.7036132812
57683.4119792600	5355163.2976663355	2331.6623535156
57683.4137614800	5355071.8251526067	2331.3203125000
57683.4155440800	5353692.1718348339	2330.9733886719
57683.4173263000	5354405.4515010621	2331.1943359375
57683.4191088900	5353061.9323880626	2331.0766601562
57683.4208911100	5351838.5628002044	2330.9003906250
57683.4226737100	5354067.3926907899	2331.2863769531
57683.4244559300	5355776.1523441309	2331.5405273438
57683.4262385200	5349884.0666681025	2330.4887695312
57683.4280207400	5358837.2322582332	2332.1955566406
57683.4298033400	5354847.8314068997	2331.3164062500
57683.4675233400	5282017.7714343928	2318.2055664062
57683.4693055600	5275318.3368813479	2315.9333496094
57683.4710881500	5271062.1734522544	2314.3190917969
57683.4728703700	5273948.4502980476	2314.4907226562
57683.4746529700	5266230.6382208839	2313.0612792969
57683.4764351900	5265846.9213752635	2312.5012207031
57683.4782177800	5261107.3616923420	2311.6706542969
57683.4800000000	5266703.1981839174	2312.5590820312
57683.4817826000	5263414.2504978366	2311.9772949219
57683.4835648200	5264136.6659343783	2312.0017089844
57683.4853474100	5265934.8660468748	2312.4790039062
57683.4871296300	5266254.6556775728	2312.6806640625
57683.4889122300	5263359.8815400712	2311.8896484375
57683.4906944500	5265455.7729889760	2312.5466308594
57683.4924770400	5267918.6252618711	2312.8776855469
57683.4942592600	5269483.9267687276	2313.2006835938
57683.4960418600	5273360.4893640717	2314.1188964844
57683.5337614800	5346342.7753043678	2331.5947265625
57683.5355440800	5346273.7834287426	2330.8789062500
57683.5373263000	5347062.0799880512	2330.3583984375
57683.5391088900	5349713.8714883290	2330.3842773438
57683.5408911100	5347600.4533172427	2329.7150878906
57683.5426737100	5345974.9062502393	2329.4072265625
57683.5444559300	5348346.9990217797	2329.7731933594
57683.5462385200	5350894.5862506423	2330.0427246094
57683.5480207400	5351949.6146538556	2330.2678222656
57683.5498033400	5352411.3705909355	2330.4501953125
57683.5515855600	5343844.8236573637	2328.6562500000
57683.5533681500	5348447.2935191281	2329.7392578125
57683.5551503700	5352817.3234648490	2330.5969238281
57683.5569329700	5350445.1867193440	2330.2160644531
57683.5587151900	5346917.4001598582	2329.3974609375
57683.5604977800	5349172.0069101807	2329.9685058594
57683.5622800000	5347790.4542635139	2329.5478515625
