Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	6186328.1791184591	2504.2895507812
57683.3428937100	6190908.8051808411	2505.0146484375
57683.3446759300	6189137.7020035470	2504.5083007812
57683.3464585200	6194970.9641158106	2505.7922363281
57683.3482407400	6198246.1427634256	2506.1882324219
57683.3500233400	6200740.4736809339	2506.4028320312
57683.3518059300	6203132.8995418716	2506.8269042969
57683.3535881500	6201192.1970292022	2506.4025878906
57683.3553703700	6202908.8071364760	2506.6796875000
57683.3571529700	6202459.7169146650	2506.5317382812
57683.3589351900	6202696.7055223472	2506.6545410156
57683.3607177800	6201365.5446031308	2506.2751464844
57683.3625000000	6202078.8296789657	2506.5134277344
57683.3637651900	3118295.6800859626	1784.1706542969
57683.4012848200	6203531.4133474864	2509.1887207031
57683.4030670400	6202945.4232266694	2508.6391601562
57683.4048496300	6201791.1919273455	2507.9826660156
57683.4066318600	6197199.0471171169	2506.6992187500
57683.4084144500	6202400.8766083047	2507.6499023438
57683.4101966700	6204809.0854739472	2507.9169921875
57683.4119792600	6207608.4690973498	2508.2990722656
57683.4137614800	6204879.0073794043	2507.5366210938
57683.4155440800	6202737.4892432652	2506.9692382812
57683.4173263000	6207064.7064442504	2507.7912597656
57683.4191088900	6206612.4791538464	2507.6579589844
57683.4208911100	6203351.6319519999	2506.9299316406
57683.4226737100	6205735.5818949416	2507.3325195312
57683.4244559300	6202001.7250427585	2506.5678710938
57683.4262385200	6205980.3077552645	2507.4284667969
57683.4280207400	6207682.7049806956	2507.7416992188
57683.4298033400	6201601.5312458929	2506.4746093750
57683.4675233400	6120478.8360174950	2493.5168457031
57683.4693055600	6112165.2121133441	2491.0402832031
57683.4710881500	6117202.3808507426	2491.4765625000
57683.4728703700	6108070.2909088321	2489.3835449219
57683.4746529700	6112462.3464519111	2489.9030761719
57683.4764351900	6099789.0336329117	2487.6259765625
57683.4782177800	6103236.2968631824	2488.0600585938
57683.4800000000	6097052.0192146394	2486.7321777344
57683.4817826000	6098869.8930123504	2486.8188476562
57683.4835648200	6095358.7137941895	2486.0466308594
57683.4853474100	6096316.5669010058	2486.3137207031
57683.4871296300	6096261.7005024059	2486.1259765625
57683.4889122300	6103773.9984513354	2487.5485839844
57683.4906944500	6103026.0073126201	2487.5349121094
57683.4924770400	6102040.8401942430	2487.1037597656
57683.4942592600	6106540.5369709544	2488.0993652344
57683.4960418600	6113705.2205058485	2489.4675292969
57683.5337614800	6197689.8635645574	2508.9548339844
57683.5355440800	6198365.9356569219	2508.4113769531
57683.5373263000	6201351.4714941224	2508.5441894531
57683.5391088900	6202998.3213265892	2508.3779296875
57683.5408911100	6196877.8456844781	2506.8427734375
57683.5426737100	6203432.4437362580	2507.9113769531
57683.5444559300	6204009.6591146337	2507.9184570312
57683.5462385200	6204369.1655417029	2507.8122558594
57683.5480207400	6199625.1361000435	2506.8676757812
57683.5498033400	6199146.5905453414	2506.6538085938
57683.5515855600	6199157.2080059852	2506.5798339844
57683.5533681500	6199900.4690032881	2506.5288085938
57683.5551503700	6198829.9663494434	2506.3432617188
57683.5569329700	6197965.3988162316	2506.1625976562
57683.5587151900	6203911.1391026434	2507.2849121094
57683.5604977800	6205910.7366236048	2507.6862792969
57683.5622800000	6202229.8980500707	2506.9404296875
