Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	5185909.7084216559	2324.2824707031
57683.3428937100	5193806.4420618732	2325.7282714844
57683.3446759300	5200383.6279730247	2326.9389648438
57683.3464585200	5205408.5262795761	2328.0588378906
57683.3482407400	5200749.7827653168	2326.7941894531
57683.3500233400	5203337.7339297263	2327.0864257812
57683.3518059300	5202737.2127317404	2327.0544433594
57683.3535881500	5202170.2709099343	2326.6223144531
57683.3553703700	5207029.4262662847	2327.6872558594
57683.3571529700	5201678.3397765532	2326.5705566406
57683.3589351900	5206978.8040529983	2327.4780273438
57683.3607177800	5209017.7881838623	2327.8723144531
57683.3625000000	5209175.0879762135	2327.9980468750
57683.3637651900	2623737.0374356410	1659.6748046875
57683.4012848200	5202801.8187030377	2329.8659667969
57683.4030670400	5204010.3501619752	2329.4633789062
57683.4048496300	5206551.2508783862	2329.5236816406
57683.4066318600	5209915.2830524286	2330.0712890625
57683.4084144500	5205349.0002371697	2328.5849609375
57683.4101966700	5208535.9407755258	2329.0620117188
57683.4119792600	5213010.9687901223	2330.0043945312
57683.4137614800	5205432.7698509684	2328.1567382812
57683.4155440800	5212453.7183752842	2329.3210449219
57683.4173263000	5212389.7193499738	2329.2932128906
57683.4191088900	5209037.2940545874	2328.5224609375
57683.4208911100	5214666.5639917832	2329.6601562500
57683.4226737100	5209448.5840689419	2328.5520019531
57683.4244559300	5210289.3716369290	2328.7241210938
57683.4262385200	5212107.3964377651	2328.9558105469
57683.4280207400	5205154.6865793979	2327.6003417969
57683.4298033400	5208871.0566645218	2328.2336425781
57683.4675233400	5136869.2540493617	2316.4746093750
57683.4693055600	5135928.4720028378	2315.0451660156
57683.4710881500	5129177.9446664918	2313.0253906250
57683.4728703700	5125903.2650127150	2312.1479492188
57683.4746529700	5127448.3624702636	2311.8005371094
57683.4764351900	5124856.0424146736	2311.2766113281
57683.4782177800	5117310.7932763267	2309.5068359375
57683.4800000000	5124508.3931756327	2310.8454589844
57683.4817826000	5125641.6955436310	2310.8916015625
57683.4835648200	5119201.9181993911	2309.4582519531
57683.4853474100	5121418.0547436168	2309.9304199219
57683.4871296300	5119480.5513544353	2309.3735351562
57683.4889122300	5119329.8240717687	2309.0581054688
57683.4906944500	5121957.7001278298	2309.7353515625
57683.4924770400	5121364.2001634063	2309.6291503906
57683.4942592600	5133731.6817963012	2312.2329101562
57683.4960418600	5132018.6660236046	2311.9121093750
57683.5337614800	5202548.7475480149	2330.9238281250
57683.5355440800	5204735.6539438395	2330.6071777344
57683.5373263000	5201848.9505812759	2329.2216796875
57683.5391088900	5208984.9433661643	2330.4448242188
57683.5408911100	5207426.2157619121	2329.8420410156
57683.5426737100	5207010.1372294649	2329.2307128906
57683.5444559300	5204908.7005577264	2328.8642578125
57683.5462385200	5205655.5435943669	2328.7841796875
57683.5480207400	5203801.0230478905	2328.1206054688
57683.5498033400	5203736.8136180062	2328.1979980469
57683.5515855600	5201617.1397178117	2327.7810058594
57683.5533681500	5204718.6831619814	2328.0290527344
57683.5551503700	5207423.8450415954	2328.7543945312
57683.5569329700	5204883.0060878210	2327.7500000000
57683.5587151900	5207163.0112652592	2328.5090332031
57683.5604977800	5204301.6202840656	2327.7358398438
57683.5622800000	5206236.3205679776	2328.2626953125
