Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	6024059.1044466989	2467.9694824219
57683.3428937100	6023685.1718068216	2467.7541503906
57683.3446759300	6033290.4777789190	2469.5903320312
57683.3464585200	6033370.0674103238	2469.6220703125
57683.3482407400	6033597.7598432153	2469.4020996094
57683.3500233400	6038734.0210300181	2470.4641113281
57683.3518059300	6035686.4906975944	2469.7839355469
57683.3535881500	6036668.3882851005	2469.9272460938
57683.3553703700	6036604.0197957912	2469.6782226562
57683.3571529700	6040345.2308025295	2470.5451660156
57683.3589351900	6042597.3833760004	2471.0141601562
57683.3607177800	6040871.8372796709	2470.7814941406
57683.3625000000	6040419.2368147522	2470.5490722656
57683.3637651900	3038868.8842456480	1758.3931884766
57683.4012848200	6036851.6983260214	2471.8979492188
57683.4030670400	6040274.9806512231	2472.1713867188
57683.4048496300	6039974.4384083971	2471.7436523438
57683.4066318600	6040563.2890531765	2471.4985351562
57683.4084144500	6042098.8281927491	2471.4228515625
57683.4101966700	6036088.9207970370	2470.1020507812
57683.4119792600	6043554.4087350434	2471.6879882812
57683.4137614800	6046545.3504637107	2471.9755859375
57683.4155440800	6040680.4504748164	2470.8271484375
57683.4173263000	6041993.7818589285	2470.9885253906
57683.4191088900	6046855.7511715870	2471.9809570312
57683.4208911100	6044380.2238932261	2471.5051269531
57683.4226737100	6048203.4037504066	2472.3041992188
57683.4244559300	6047269.8540422181	2471.9685058594
57683.4262385200	6043666.8357287785	2471.3225097656
57683.4280207400	6043469.0074656308	2471.2309570312
57683.4298033400	6041028.0567866126	2470.7602539062
57683.4675233400	5964383.8531174781	2458.2382812500
57683.4693055600	5954206.7478675237	2455.3281250000
57683.4710881500	5955170.8890676703	2454.7812500000
57683.4728703700	5948022.2203243235	2453.1809082031
57683.4746529700	5946743.9861544613	2452.7692871094
57683.4764351900	5941921.9860706264	2451.6599121094
57683.4782177800	5936886.9135647360	2450.6044921875
57683.4800000000	5941691.1840498652	2451.3298339844
57683.4817826000	5944442.7930364413	2451.7817382812
57683.4835648200	5939923.0685066571	2450.9846191406
57683.4853474100	5942296.1720794458	2451.3500976562
57683.4871296300	5941236.1520687528	2451.2761230469
57683.4889122300	5939754.8388995193	2450.8315429688
57683.4906944500	5941686.2654760974	2451.1865234375
57683.4924770400	5946153.4299749620	2452.0727539062
57683.4942592600	5956581.4096001396	2454.0593261719
57683.4960418600	5948467.8522447683	2452.3940429688
57683.5337614800	6032691.1650915267	2471.8391113281
57683.5355440800	6036737.6204243964	2471.9794921875
57683.5373263000	6035306.7929521985	2471.0102539062
57683.5391088900	6039951.0360258669	2471.4812011719
57683.5408911100	6030427.0859046467	2469.4982910156
57683.5426737100	6039722.7742926534	2471.2680664062
57683.5444559300	6039003.7510175947	2470.8254394531
57683.5462385200	6039842.8652262297	2470.9106445312
57683.5480207400	6035744.0590503998	2469.9296875000
57683.5498033400	6038249.8473615730	2470.3779296875
57683.5515855600	6039809.0180223715	2470.5747070312
57683.5533681500	6039528.8240055349	2470.6435546875
57683.5551503700	6039704.0417967476	2470.5463867188
57683.5569329700	6039652.7388640177	2470.4821777344
57683.5587151900	6040859.6494693272	2470.8129882812
57683.5604977800	6034975.3970140116	2469.7307128906
57683.5622800000	6036427.4475098969	2469.9035644531
