Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	6283903.7649353836	2518.8613281250
57683.3428937100	6304053.5202192347	2522.3806152344
57683.3446759300	6286592.5930771139	2519.2253417969
57683.3464585200	6293511.7917397022	2520.5002441406
57683.3482407400	6290992.7964954777	2519.9189453125
57683.3500233400	6299574.9971435396	2521.3864746094
57683.3518059300	6295750.6996363411	2520.7814941406
57683.3535881500	6298817.2889785059	2521.2761230469
57683.3553703700	6298996.7469871407	2521.2824707031
57683.3571529700	6292908.7088668086	2520.1789550781
57683.3589351900	6301220.4619055670	2521.6352539062
57683.3607177800	6304826.1058482360	2522.3789062500
57683.3625000000	6304212.0133907422	2522.2644042969
57683.3637651900	3169878.5776494374	1794.8909912109
57683.4012848200	6294398.3106818264	2522.1083984375
57683.4030670400	6301375.2396372929	2522.9350585938
57683.4048496300	6293862.3730153088	2521.0441894531
57683.4066318600	6297239.9636217523	2521.4321289062
57683.4084144500	6302164.0672266558	2522.3322753906
57683.4101966700	6301077.2090027910	2521.9655761719
57683.4119792600	6294812.7528751502	2520.6796875000
57683.4137614800	6299686.8382359231	2521.3525390625
57683.4155440800	6301017.4759722892	2521.5266113281
57683.4173263000	6299890.0601411052	2521.3107910156
57683.4191088900	6300666.3827922875	2521.5207519531
57683.4208911100	6298501.7381693553	2521.2243652344
57683.4226737100	6297235.4013702488	2520.8769531250
57683.4244559300	6293455.7168253511	2520.1689453125
57683.4262385200	6299526.1283770045	2521.3461914062
57683.4280207400	6296545.6368314717	2520.6269531250
57683.4298033400	6297699.1868301863	2520.8618164062
57683.4675233400	6209396.1630334584	2506.1125488281
57683.4693055600	6208386.1836581510	2504.9846191406
57683.4710881500	6207722.2453092178	2504.1494140625
57683.4728703700	6199540.4136943556	2502.4450683594
57683.4746529700	6204558.8897125497	2503.3308105469
57683.4764351900	6196985.4628890576	2501.7097167969
57683.4782177800	6196685.7683578404	2501.5266113281
57683.4800000000	6190918.2252498791	2500.3251953125
57683.4817826000	6194250.9890919663	2500.8908691406
57683.4835648200	6191893.8252621461	2500.5043945312
57683.4853474100	6193381.2709966190	2500.8195800781
57683.4871296300	6195875.9879942024	2501.1418457031
57683.4889122300	6194688.5190847795	2500.9606933594
57683.4906944500	6193793.9962004218	2500.8637695312
57683.4924770400	6201596.9878188707	2502.2988281250
57683.4942592600	6200578.4700447749	2502.0610351562
57683.4960418600	6205347.5300405500	2502.9060058594
57683.5337614800	6296098.1724236514	2522.9895019531
57683.5355440800	6295882.5493634772	2522.1074218750
57683.5373263000	6298009.5383066079	2521.8559570312
57683.5391088900	6293552.0510781771	2520.7707519531
57683.5408911100	6293930.4939274173	2520.5205078125
57683.5426737100	6289801.8225279730	2519.6943359375
57683.5444559300	6298122.7444078699	2521.2036132812
57683.5462385200	6294625.9822962666	2520.4758300781
57683.5480207400	6294342.0144686708	2520.3039550781
57683.5498033400	6287925.4489957783	2518.9936523438
57683.5515855600	6293982.0400912818	2520.3176269531
57683.5533681500	6291036.8741330225	2519.6601562500
57683.5551503700	6298996.3978933822	2521.0532226562
57683.5569329700	6291299.1681702165	2519.6359863281
57683.5587151900	6296322.0646546632	2520.5861816406
57683.5604977800	6290694.7178520476	2519.4562988281
57683.5622800000	6291564.4165623449	2519.7019042969
