Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	5040944.7235651240	2265.0688476562
57683.3428937100	5048654.4956766935	2266.4431152344
57683.3446759300	5045925.7325935746	2266.1042480469
57683.3464585200	5049746.2350563733	2266.4797363281
57683.3482407400	5051350.7556646746	2266.8745117188
57683.3500233400	5052178.9886530666	2267.0944824219
57683.3518059300	5057458.2950525759	2268.1875000000
57683.3535881500	5057290.7993161203	2268.2431640625
57683.3553703700	5055758.6455963086	2267.8732910156
57683.3571529700	5059739.6968443859	2268.8374023438
57683.3589351900	5057730.8225260498	2268.4108886719
57683.3607177800	5057622.5130575020	2268.4660644531
57683.3625000000	5064075.9623884754	2269.7434082031
57683.3637651900	2547606.8275378020	1614.2639160156
57683.4012848200	5056132.9772261642	2269.6640625000
57683.4030670400	5057030.6737779491	2269.2543945312
57683.4048496300	5056440.2688674955	2268.6196289062
57683.4066318600	5057427.3314655945	2268.4384765625
57683.4084144500	5056779.9981619949	2268.2282714844
57683.4101966700	5058268.2066555405	2268.4299316406
57683.4119792600	5060002.4295612276	2268.8144531250
57683.4137614800	5062362.8453897526	2268.8930664062
57683.4155440800	5055399.5732474541	2267.5566406250
57683.4173263000	5057313.4380923780	2267.8515625000
57683.4191088900	5062883.7853883989	2269.3771972656
57683.4208911100	5060366.1878314046	2268.7773437500
57683.4226737100	5058918.8741415804	2268.5800781250
57683.4244559300	5055881.3370188847	2267.5617675781
57683.4262385200	5058662.4219357073	2268.3974609375
57683.4280207400	5062278.2854234381	2269.0800781250
57683.4298033400	5056686.9098729435	2268.0256347656
57683.4675233400	4991321.8290781965	2255.7788085938
57683.4693055600	4987069.9502391797	2254.0292968750
57683.4710881500	4981791.7986384109	2252.2988281250
57683.4728703700	4982384.5900834426	2252.1425781250
57683.4746529700	4980120.3622234548	2251.7331542969
57683.4764351900	4979020.8048902843	2251.0891113281
57683.4782177800	4970991.1791159883	2249.5146484375
57683.4800000000	4977428.6360002244	2250.4592285156
57683.4817826000	4974453.3418758297	2249.8735351562
57683.4835648200	4975438.7374146273	2250.0769042969
57683.4853474100	4978527.8682503756	2250.9052734375
57683.4871296300	4976470.7860641517	2250.4987792969
57683.4889122300	4977267.8099531736	2250.5886230469
57683.4906944500	4979722.8083270155	2251.1950683594
57683.4924770400	4981204.5546109611	2251.3684082031
57683.4942592600	4983001.2659917716	2251.7177734375
57683.4960418600	4990522.8844556911	2253.4855957031
57683.5337614800	5051057.0322901933	2268.8330078125
57683.5355440800	5053894.9069229141	2268.7939453125
57683.5373263000	5054247.4660953628	2267.8886718750
57683.5391088900	5054143.7446175832	2267.4907226562
57683.5408911100	5056011.2964227330	2267.7192382812
57683.5426737100	5054018.0138175040	2267.4150390625
57683.5444559300	5052483.0246010209	2266.7497558594
57683.5462385200	5054186.3754621558	2267.0764160156
57683.5480207400	5059503.1437812392	2268.1215820312
57683.5498033400	5061330.7318096021	2268.5244140625
57683.5515855600	5054416.4665568182	2267.1159667969
57683.5533681500	5056585.5862721987	2267.5756835938
57683.5551503700	5055779.8331967574	2267.4228515625
57683.5569329700	5060731.1858330015	2268.6159667969
57683.5587151900	5050326.2573153013	2266.2590332031
57683.5604977800	5056733.6582685346	2267.7077636719
57683.5622800000	5057661.7204898503	2267.8046875000
