    0.999863266790931182E+00    0.486854614712717293E-02    0.291103203594209572E+04   -0.416688889546623642E-02    0.460913748900803694E+04   -0.356448258765349237E+02
    0.999830427686851708E+00   -0.131853156008702177E-01    0.158944650823586744E+04    0.140222572007451252E-01    0.157020328303313272E+04   -0.318496672680364377E+02
    0.999861728709481756E+00    0.145023483107671325E+00    0.279779892688014388E+04   -0.144178461592961771E+00    0.281912446444582474E+04   -0.309314400723679448E+02
    0.100001835375714743E+01    0.934179644931365516E-04    0.437775224015985077E+04    0.860969633493580133E-03    0.827208096521613697E+03   -0.305034187619981587E+02
    0.999868554971585444E+00   -0.138015620850677756E-01    0.123008526417037774E+04    0.147862377363339181E-01    0.123288832410942905E+04   -0.303558449241129615E+02
    0.999895954668055031E+00    0.239977121368872837E-01    0.172312553675216623E+04   -0.230742273154866950E-01    0.174280358210329632E+04   -0.302982463433771478E+02
    0.100000967412467578E+01   -0.130011024698672983E-03    0.336970377993620787E+04    0.122184007242531756E-02    0.103067368427395377E+04   -0.302553444058574676E+02
    0.999855239841384358E+00   -0.813015710678714143E+00    0.232381198986622712E+04    0.813695024927798771E+00    0.232127209158171081E+04   -0.300226367705870558E+02
    0.999836635698829412E+00   -0.950701973938761213E-03    0.330190431850667301E+04    0.171382096942429563E-02    0.157388645678832108E+04   -0.297723801904327736E+02
    0.999851259134202586E+00   -0.335079148634510604E-01    0.820661752240158421E+03    0.344092554957853292E-01    0.823335985001990593E+03   -0.297440382594507113E+02
    0.999986267583004351E+00    0.155524477246338222E-02    0.118698770101145601E+04   -0.463812729350032704E-03    0.208206508433702584E+04   -0.296870482317744013E+02
    0.999991271082301569E+00   -0.452043049705846633E+00    0.136642869204066574E+04    0.452747843704853103E+00    0.136271514809095061E+04   -0.295659714378794440E+02
    0.999837175645860499E+00   -0.591948294739075287E-03    0.162488759118897906E+04    0.137491985361215541E-02    0.117218812028000139E+04   -0.293907224229763528E+02
    0.999976535179049164E+00   -0.331617392571370573E-03    0.370042049195048276E+04    0.970552550859427043E-03    0.788584268155485915E+03   -0.293283437321224376E+02
    0.999889266212479311E+00    0.811383450593217148E-02    0.232042133306783217E+04   -0.722179796760880066E-02    0.266971701944245342E+04   -0.292366204894962500E+02
