Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	4873693.0625000000	2250.5361328125
57625.7916270800	4887224.7500000000	2253.2866210938
57625.7939304200	4895710.7500000000	2255.4245605469
57625.7962333800	4898578.0625000000	2255.9182128906
57625.7985367100	4902706.8125000000	2256.7714843750
57625.8008400500	4903527.8125000000	2256.8283691406
57625.8031433800	4905845.6875000000	2257.4577636719
57625.8054463400	4910902.5625000000	2259.1408691406
57625.8077496800	4907299.3125000000	2259.6215820312
57625.8100530100	4909787.2500000000	2261.5803222656
57625.8123563400	4907516.9375000000	2262.1950683594
57625.8144007900	4109481.9375000000	2072.9797363281
57625.8497289400	4913846.3750000000	2259.3381347656
57625.8520322700	4910599.0000000000	2258.5734863281
57625.8543352300	4911073.1875000000	2258.6440429688
57625.8566385700	4912399.5000000000	2258.8144531250
57625.8589419000	4913576.8125000000	2259.1611328125
57625.8612452300	4913293.2500000000	2259.0134277344
57625.8635482000	4913147.1875000000	2259.0375976562
57625.8658515300	4911064.1875000000	2258.7087402344
57625.8681548600	4913388.3750000000	2259.0261230469
57625.8704582000	4914794.6875000000	2259.8164062500
57625.8727611600	4911907.3750000000	2259.5878906250
57625.8750644900	4911384.7500000000	2261.2509765625
57625.8773678300	4912501.3125000000	2263.3288574219
57625.9159674600	4865631.3750000000	2248.7165527344
57625.9182704200	4870629.3125000000	2249.7709960938
57625.9205737500	4864567.3750000000	2248.2614746094
57625.9228770800	4871551.6250000000	2249.9138183594
57625.9251804200	4868249.8750000000	2249.1027832031
57625.9274833800	4868735.1875000000	2249.2460937500
57625.9297867100	4867868.8750000000	2248.9792480469
57625.9320900500	4869124.2500000000	2249.2766113281
57625.9343933800	4869900.7500000000	2249.4765625000
57625.9366963400	4868603.1875000000	2249.1831054688
57625.9389996800	4864967.2500000000	2249.1027832031
57625.9413030100	4873357.1250000000	2252.3666992188
57625.9436063400	4869658.2500000000	2253.1679687500
57625.9821941200	4865715.7500000000	2248.7243652344
57625.9844974600	4870887.2500000000	2249.5734863281
57625.9868007900	4872204.8125000000	2250.0368652344
57625.9891037500	4872266.9375000000	2250.0463867188
57625.9914070800	4877695.9375000000	2251.1120605469
57625.9937104200	4875267.9375000000	2250.8410644531
57625.9960137500	4883554.9375000000	2252.4372558594
57625.9983167100	4890943.3750000000	2254.0361328125
57626.0006200500	4901763.2500000000	2256.4868164062
57626.0029233800	4907029.6875000000	2257.8488769531
57626.0052267100	4912512.9375000000	2259.7580566406
57626.0075296800	4919301.4375000000	2262.9853515625
57626.0098330100	4913344.8125000000	2263.1762695312
57626.0484326400	4910968.0000000000	2258.7558593750
57626.0507359700	4909745.6250000000	2258.4577636719
57626.0530393100	4910029.9375000000	2258.4104003906
57626.0553422700	4912822.9375000000	2258.9833984375
57626.0576456000	4917885.5000000000	2260.1655273438
57626.0599489400	4911360.5625000000	2258.5988769531
57626.0622519000	4914245.1875000000	2259.2924804688
57626.0645552300	4909971.5000000000	2258.4411621094
57626.0668585700	4909984.5625000000	2258.4035644531
57626.0691619000	4911538.9375000000	2258.5766601562
57626.0714648600	4910259.0625000000	2259.0109863281
57626.0737682000	4916031.1250000000	2262.2189941406
57626.0760715300	4916816.8125000000	2263.5134277344
