Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	5806983.8750000000	2460.1215820312
57449.4495046500	5814446.5625000000	2461.3249511719
57449.4518079800	5812176.0625000000	2460.5292968750
57449.4541113100	5822336.8750000000	2462.1562500000
57449.4564142800	5820418.2500000000	2461.7587890625
57449.4587176100	5822866.3750000000	2462.1506347656
57449.4610209400	5826909.4375000000	2463.0788574219
57449.4633242800	5825868.5000000000	2462.8164062500
57449.4656272400	5827656.6250000000	2462.6840820312
57449.4676720500	4884647.9375000000	2256.4912109375
57449.5054305700	5824127.5000000000	2466.8442382812
57449.5077339100	5825488.0000000000	2465.7065429688
57449.5100372400	5823935.9375000000	2464.6518554688
57449.5123402000	5827439.1250000000	2464.5781250000
57449.5146435400	5823733.5000000000	2463.5688476562
57449.5169468700	5823184.6250000000	2462.9240722656
57449.5192502000	5829612.2500000000	2464.1591796875
57449.5215531700	5834989.3125000000	2464.8510742188
57449.5238565000	5830654.5625000000	2464.0541992188
57449.5261598300	5826988.5000000000	2463.4467773438
57449.5284631700	5829648.6875000000	2463.7197265625
57449.5307661300	5827216.3125000000	2462.9873046875
57449.5330694600	5830257.7500000000	2463.4270019531
57449.5716690900	5772061.3750000000	2455.7233886719
57449.5739724200	5773720.0625000000	2454.7956542969
57449.5762753900	5772126.7500000000	2453.9943847656
57449.5785787200	5770385.4375000000	2452.7463378906
57449.5808820500	5771141.8750000000	2452.4155273438
57449.5831853900	5773725.1875000000	2452.6533203125
57449.5854883500	5770464.2500000000	2451.7668457031
57449.5877916800	5772669.5625000000	2452.3342285156
57449.5900950200	5771022.9375000000	2452.0058593750
57449.5923983500	5774699.8125000000	2452.6572265625
57449.5947013100	5768484.0000000000	2451.5437011719
57449.5970046500	5772973.4375000000	2452.0717773438
57449.5993079800	5771154.6250000000	2451.3095703125
57449.6378957600	5768726.6875000000	2454.9040527344
57449.6401990900	5769297.4375000000	2453.8391113281
57449.6425024200	5773695.5625000000	2454.1735839844
57449.6448057600	5772878.1875000000	2453.1210937500
57449.6471087200	5773886.2500000000	2452.9853515625
57449.6494120500	5775954.5625000000	2452.8688964844
57449.6517153900	5774222.7500000000	2452.5087890625
57449.6540187200	5778087.5000000000	2453.1870117188
57449.6563216800	5773359.1250000000	2452.1979980469
57449.6586250200	5778426.1250000000	2453.5092773438
57449.6609283500	5780048.0000000000	2453.8742675781
57449.6632316800	5779374.1250000000	2453.2949218750
57449.6655346500	5781398.3125000000	2453.4282226562
57449.7041342800	5820447.0625000000	2466.5900878906
57449.7064376100	5824482.6250000000	2465.6684570312
57449.7087409400	5824499.5625000000	2464.6701660156
57449.7110439100	5823727.8750000000	2463.8776855469
57449.7133472400	5819517.6875000000	2462.6882324219
57449.7156505700	5825363.4375000000	2463.1823730469
57449.7179539100	5823217.7500000000	2462.4389648438
57449.7202568700	5827406.4375000000	2463.3068847656
57449.7225602000	5826968.3125000000	2463.1752929688
57449.7248635400	5833208.9375000000	2464.5021972656
57449.7271668700	5825679.3125000000	2463.0026855469
57449.7294698300	5827620.1875000000	2463.1342773438
