Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	6452791.8750000000	2556.7370605469
57449.4495046500	6459137.5625000000	2557.6257324219
57449.4518079800	6466874.3750000000	2558.5820312500
57449.4541113100	6469801.8750000000	2558.7619628906
57449.4564142800	6472545.7500000000	2559.3544921875
57449.4587176100	6469788.6250000000	2558.8066406250
57449.4610209400	6474710.4375000000	2559.5134277344
57449.4633242800	6474136.6250000000	2559.5124511719
57449.4656272400	6474246.0000000000	2559.3010253906
57449.4676720500	5425285.5625000000	2344.3408203125
57449.5054305700	6470684.1250000000	2562.8952636719
57449.5077339100	6474782.1875000000	2562.4538574219
57449.5100372400	6470948.4375000000	2560.9416503906
57449.5123402000	6472439.8750000000	2560.6210937500
57449.5146435400	6472720.0000000000	2560.2163085938
57449.5169468700	6474965.3750000000	2560.4958496094
57449.5192502000	6477515.7500000000	2560.7548828125
57449.5215531700	6481868.1875000000	2561.3002929688
57449.5238565000	6478511.9375000000	2560.4921875000
57449.5261598300	6473446.1250000000	2559.6801757812
57449.5284631700	6476546.3750000000	2560.2119140625
57449.5307661300	6475321.1250000000	2559.5559082031
57449.5330694600	6478068.3750000000	2559.8994140625
57449.5716690900	6412015.6250000000	2551.4973144531
57449.5739724200	6415432.9375000000	2550.8430175781
57449.5762753900	6412261.9375000000	2549.6362304688
57449.5785787200	6414605.7500000000	2549.5417480469
57449.5808820500	6416387.6250000000	2549.2978515625
57449.5831853900	6416107.0000000000	2548.7346191406
57449.5854883500	6411319.8750000000	2547.8984375000
57449.5877916800	6415298.0625000000	2548.5917968750
57449.5900950200	6414274.1250000000	2548.5043945312
57449.5923983500	6412545.7500000000	2548.2072753906
57449.5947013100	6413477.5625000000	2548.3222656250
57449.5970046500	6411867.3125000000	2547.7316894531
57449.5993079800	6412935.0625000000	2547.6745605469
57449.6378957600	6406951.3750000000	2550.3395996094
57449.6401990900	6407595.1875000000	2549.3388671875
57449.6425024200	6407491.5000000000	2548.9760742188
57449.6448057600	6405113.5625000000	2547.7998046875
57449.6471087200	6409460.8750000000	2547.9191894531
57449.6494120500	6414906.8750000000	2548.7006835938
57449.6517153900	6413693.7500000000	2548.1628417969
57449.6540187200	6414180.5000000000	2548.3020019531
57449.6563216800	6412325.0000000000	2547.8920898438
57449.6586250200	6417665.6250000000	2549.1281738281
57449.6609283500	6417170.6875000000	2549.2609863281
57449.6632316800	6415802.9375000000	2548.5036621094
57449.6655346500	6419878.0000000000	2549.0185546875
57449.7041342800	6457225.8125000000	2561.1267089844
57449.7064376100	6466704.1250000000	2561.1972656250
57449.7087409400	6462955.3125000000	2559.3940429688
57449.7110439100	6467792.5000000000	2559.6511230469
57449.7133472400	6467014.6875000000	2559.1596679688
57449.7156505700	6467072.0000000000	2558.8654785156
57449.7179539100	6470292.2500000000	2559.1103515625
57449.7202568700	6463994.6875000000	2557.6684570312
57449.7225602000	6462560.5000000000	2557.6071777344
57449.7248635400	6474131.0000000000	2559.6672363281
57449.7271668700	6463771.6250000000	2557.8347167969
57449.7294698300	6469511.3125000000	2558.5324707031
