Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	6123987.3750000000	2523.8049316406
57449.4495046500	6123192.8750000000	2523.3354492188
57449.4518079800	6127987.7500000000	2523.9118652344
57449.4541113100	6135087.2500000000	2524.8522949219
57449.4564142800	6138592.2500000000	2525.4580078125
57449.4587176100	6139166.8125000000	2525.4257812500
57449.4610209400	6138810.0000000000	2525.4545898438
57449.4633242800	6141944.4375000000	2525.9458007812
57449.4656272400	6145341.9375000000	2526.4377441406
57449.4676720500	5140469.6875000000	2312.4250488281
57449.5054305700	6137572.9375000000	2529.4238281250
57449.5077339100	6138158.9375000000	2528.1247558594
57449.5100372400	6141533.2500000000	2527.8122558594
57449.5123402000	6141960.9375000000	2527.5493164062
57449.5146435400	6140152.3750000000	2526.6682128906
57449.5169468700	6142822.7500000000	2526.8940429688
57449.5192502000	6140490.1250000000	2526.3171386719
57449.5215531700	6145504.7500000000	2526.9697265625
57449.5238565000	6146711.1875000000	2527.2031250000
57449.5261598300	6143757.3750000000	2526.8774414062
57449.5284631700	6147302.1250000000	2527.4465332031
57449.5307661300	6141502.8125000000	2525.7424316406
57449.5330694600	6144746.5625000000	2526.2153320312
57449.5716690900	6085975.0000000000	2518.7880859375
57449.5739724200	6082222.0000000000	2516.7475585938
57449.5762753900	6084523.1250000000	2516.6689453125
57449.5785787200	6089969.5000000000	2517.0495605469
57449.5808820500	6083351.8125000000	2515.1154785156
57449.5831853900	6083235.1875000000	2514.6335449219
57449.5854883500	6084186.5000000000	2514.9003906250
57449.5877916800	6085124.6875000000	2515.1274414062
57449.5900950200	6085139.5000000000	2514.9228515625
57449.5923983500	6080700.1875000000	2514.4707031250
57449.5947013100	6081993.9375000000	2514.6416015625
57449.5970046500	6083936.0000000000	2514.5634765625
57449.5993079800	6080531.1875000000	2513.6232910156
57449.6378957600	6079985.6875000000	2517.5253906250
57449.6401990900	6081182.0625000000	2516.4880371094
57449.6425024200	6079633.1875000000	2515.5764160156
57449.6448057600	6081885.9375000000	2515.2639160156
57449.6471087200	6082090.4375000000	2515.0036621094
57449.6494120500	6080140.9375000000	2514.1657714844
57449.6517153900	6086021.6250000000	2515.2092285156
57449.6540187200	6083671.8750000000	2514.7951660156
57449.6563216800	6087832.5000000000	2515.3881835938
57449.6586250200	6090798.0625000000	2516.1066894531
57449.6609283500	6087996.9375000000	2516.0861816406
57449.6632316800	6088742.8125000000	2515.5195312500
57449.6655346500	6092456.5625000000	2515.8950195312
57449.7041342800	6138078.6250000000	2530.1093750000
57449.7064376100	6137066.6250000000	2528.3503417969
57449.7087409400	6142078.2500000000	2528.1469726562
57449.7110439100	6133991.5625000000	2525.9401855469
57449.7133472400	6138348.0000000000	2526.2756347656
57449.7156505700	6136367.5625000000	2525.4855957031
57449.7179539100	6140298.0000000000	2525.8327636719
57449.7202568700	6135536.8125000000	2524.7993164062
57449.7225602000	6140582.9375000000	2525.9387207031
57449.7248635400	6139784.1250000000	2525.5947265625
57449.7271668700	6135348.8125000000	2525.0168457031
57449.7294698300	6135538.5625000000	2524.6933593750
