Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	6180539.5625000000	2504.3754882812
57449.4495046500	6190094.4375000000	2505.8422851562
57449.4518079800	6193986.2500000000	2506.2792968750
57449.4541113100	6200103.0625000000	2507.2390136719
57449.4564142800	6195456.4375000000	2506.2780761719
57449.4587176100	6201494.9375000000	2507.3305664062
57449.4610209400	6205748.6875000000	2508.2548828125
57449.4633242800	6204609.8750000000	2507.7001953125
57449.4656272400	6206470.9375000000	2507.8779296875
57449.4676720500	5198164.6250000000	2296.5903320312
57449.5054305700	6203331.5000000000	2511.7929687500
57449.5077339100	6202022.8125000000	2510.2131347656
57449.5100372400	6203540.8750000000	2509.6496582031
57449.5123402000	6202931.0000000000	2508.9304199219
57449.5146435400	6207583.6875000000	2509.3693847656
57449.5169468700	6204909.9375000000	2508.5354003906
57449.5192502000	6208102.9375000000	2509.0698242188
57449.5215531700	6203491.6250000000	2507.9521484375
57449.5238565000	6204997.6250000000	2508.1547851562
57449.5261598300	6207298.7500000000	2508.5205078125
57449.5284631700	6201790.6250000000	2507.6560058594
57449.5307661300	6207550.3125000000	2508.2329101562
57449.5330694600	6204432.6250000000	2507.5629882812
57449.5716690900	6148653.5625000000	2500.7285156250
57449.5739724200	6147165.2500000000	2499.2287597656
57449.5762753900	6146545.0000000000	2498.5808105469
57449.5785787200	6148014.0625000000	2498.1879882812
57449.5808820500	6144814.3750000000	2496.9265136719
57449.5831853900	6147804.5000000000	2497.1040039062
57449.5854883500	6146504.7500000000	2496.8039550781
57449.5877916800	6145010.7500000000	2496.5351562500
57449.5900950200	6146652.9375000000	2497.0537109375
57449.5923983500	6145874.4375000000	2496.5112304688
57449.5947013100	6146673.8125000000	2496.9851074219
57449.5970046500	6146351.4375000000	2496.5637207031
57449.5993079800	6144689.8750000000	2495.8884277344
57449.6378957600	6141749.0000000000	2499.2546386719
57449.6401990900	6145170.5000000000	2498.8076171875
57449.6425024200	6149636.0625000000	2499.0000000000
57449.6448057600	6145871.0000000000	2497.7644042969
57449.6471087200	6143307.9375000000	2496.5175781250
57449.6494120500	6147617.9375000000	2497.1718750000
57449.6517153900	6139458.7500000000	2495.4042968750
57449.6540187200	6146207.8750000000	2496.7189941406
57449.6563216800	6149042.9375000000	2497.2856445312
57449.6586250200	6153286.8750000000	2498.2717285156
57449.6609283500	6152921.8125000000	2498.2478027344
57449.6632316800	6151590.1875000000	2497.5693359375
57449.6655346500	6153794.8750000000	2497.4895019531
57449.7041342800	6195267.0625000000	2510.9428710938
57449.7064376100	6196829.1875000000	2509.4187011719
57449.7087409400	6197750.2500000000	2508.4174804688
57449.7110439100	6203354.5000000000	2509.0031738281
57449.7133472400	6202472.0625000000	2508.3137207031
57449.7156505700	6200913.5625000000	2507.7534179688
57449.7179539100	6202847.0000000000	2507.7487792969
57449.7202568700	6200601.2500000000	2507.2109375000
57449.7225602000	6203775.1250000000	2507.7416992188
57449.7248635400	6200820.9375000000	2507.3115234375
57449.7271668700	6200931.8125000000	2507.3940429688
57449.7294698300	6206480.3750000000	2508.2263183594
