Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	5593581.7500000000	2416.5708007812
57449.4495046500	5592134.3750000000	2415.9152832031
57449.4518079800	5601837.8125000000	2417.3498535156
57449.4541113100	5605382.3750000000	2417.8776855469
57449.4564142800	5605619.6250000000	2417.7497558594
57449.4587176100	5613622.8125000000	2419.3312988281
57449.4610209400	5608342.1250000000	2418.2077636719
57449.4633242800	5613402.1875000000	2419.0341796875
57449.4656272400	5615492.8125000000	2419.3298339844
57449.4676720500	4714196.2500000000	2218.4130859375
57449.5054305700	5609196.6875000000	2423.0273437500
57449.5077339100	5611289.1250000000	2421.7438964844
57449.5100372400	5610703.1875000000	2420.9094238281
57449.5123402000	5615772.1250000000	2421.2358398438
57449.5146435400	5614311.3125000000	2420.4919433594
57449.5169468700	5613766.6875000000	2420.2192382812
57449.5192502000	5613945.8125000000	2420.0446777344
57449.5215531700	5618246.0000000000	2420.7001953125
57449.5238565000	5612202.1875000000	2419.2216796875
57449.5261598300	5613182.7500000000	2419.4848632812
57449.5284631700	5617498.5000000000	2420.3168945312
57449.5307661300	5614728.0625000000	2419.5437011719
57449.5330694600	5613790.1875000000	2418.8300781250
57449.5716690900	5564585.4375000000	2413.2065429688
57449.5739724200	5558201.3750000000	2410.6718750000
57449.5762753900	5564555.2500000000	2411.1013183594
57449.5785787200	5560654.1875000000	2409.6354980469
57449.5808820500	5561161.4375000000	2409.2031250000
57449.5831853900	5564698.1875000000	2409.5324707031
57449.5854883500	5556455.3750000000	2407.7531738281
57449.5877916800	5561305.5625000000	2408.7687988281
57449.5900950200	5557896.5625000000	2408.0317382812
57449.5923983500	5558540.2500000000	2408.3151855469
57449.5947013100	5561165.5625000000	2408.8767089844
57449.5970046500	5559362.0000000000	2407.9775390625
57449.5993079800	5556551.6875000000	2407.1142578125
57449.6378957600	5551621.3125000000	2410.3444824219
57449.6401990900	5558349.6875000000	2410.4406738281
57449.6425024200	5555283.7500000000	2409.1535644531
57449.6448057600	5559254.0000000000	2409.3837890625
57449.6471087200	5558074.3125000000	2408.6843261719
57449.6494120500	5561583.6250000000	2409.0043945312
57449.6517153900	5559234.1250000000	2408.2458496094
57449.6540187200	5559347.5000000000	2408.3017578125
57449.6563216800	5566659.5000000000	2409.7780761719
57449.6586250200	5566581.5000000000	2410.0283203125
57449.6609283500	5561377.5625000000	2408.9462890625
57449.6632316800	5561073.1875000000	2408.3513183594
57449.6655346500	5566482.3750000000	2409.1828613281
57449.7041342800	5611202.2500000000	2424.0573730469
57449.7064376100	5604757.4375000000	2421.0273437500
57449.7087409400	5606351.9375000000	2419.9230957031
57449.7110439100	5611110.3750000000	2420.1652832031
57449.7133472400	5609039.0625000000	2419.4687500000
57449.7156505700	5612554.0000000000	2419.6474609375
57449.7179539100	5608800.1250000000	2418.4458007812
57449.7202568700	5610184.3125000000	2418.7143554688
57449.7225602000	5606304.5000000000	2417.8522949219
57449.7248635400	5614777.5625000000	2419.7316894531
57449.7271668700	5606193.8750000000	2417.9448242188
57449.7294698300	5611334.5000000000	2418.7377929688
