Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	5048333.5625000000	2289.0881347656
57625.7916270800	5067592.3125000000	2292.9365234375
57625.7939304200	5073631.3125000000	2294.5275878906
57625.7962333800	5073030.5000000000	2294.2226562500
57625.7985367100	5078685.1875000000	2295.4882812500
57625.8008400500	5083065.1875000000	2296.4167480469
57625.8031433800	5080302.9375000000	2295.7490234375
57625.8054463400	5083212.0625000000	2297.0563964844
57625.8077496800	5089134.7500000000	2299.5520019531
57625.8100530100	5084378.6250000000	2300.0878906250
57625.8123563400	5088350.1250000000	2301.9477539062
57625.8144007900	4256250.0625000000	2108.2080078125
57625.8497289400	5081661.3750000000	2296.4296875000
57625.8520322700	5085069.8750000000	2296.9843750000
57625.8543352300	5088564.3750000000	2297.5246582031
57625.8566385700	5086105.6875000000	2297.1132812500
57625.8589419000	5084702.5000000000	2296.7819824219
57625.8612452300	5089142.8125000000	2297.8557128906
57625.8635482000	5090857.3750000000	2298.1428222656
57625.8658515300	5087901.9375000000	2297.6362304688
57625.8681548600	5088166.3125000000	2297.5234375000
57625.8704582000	5088102.5625000000	2297.7448730469
57625.8727611600	5087653.2500000000	2298.2465820312
57625.8750644900	5093289.3125000000	2301.1206054688
57625.8773678300	5090771.1250000000	2302.5598144531
57625.9159674600	5044006.6875000000	2288.1640625000
57625.9182704200	5040433.1250000000	2287.2668457031
57625.9205737500	5039931.7500000000	2287.0534667969
57625.9228770800	5040434.6875000000	2287.1594238281
57625.9251804200	5037998.0000000000	2286.7285156250
57625.9274833800	5042968.7500000000	2287.7026367188
57625.9297867100	5039922.8125000000	2287.1086425781
57625.9320900500	5044072.0000000000	2287.9514160156
57625.9343933800	5037203.4375000000	2286.6110839844
57625.9366963400	5043549.6875000000	2287.8583984375
57625.9389996800	5041293.8750000000	2287.8964843750
57625.9413030100	5039857.5625000000	2289.0717773438
57625.9436063400	5038680.3125000000	2290.4526367188
57625.9821941200	5042157.2500000000	2287.7414550781
57625.9844974600	5040898.3125000000	2287.3295898438
57625.9868007900	5043730.6875000000	2287.9323730469
57625.9891037500	5046484.9375000000	2288.5930175781
57625.9914070800	5045721.8750000000	2288.2458496094
57625.9937104200	5046511.9375000000	2288.6621093750
57625.9960137500	5056142.4375000000	2290.5603027344
57625.9983167100	5067155.1875000000	2292.8195800781
57626.0006200500	5077406.1250000000	2295.3103027344
57626.0029233800	5080617.1875000000	2296.0454101562
57626.0052267100	5084711.3125000000	2297.5600585938
57626.0075296800	5089474.1875000000	2300.3837890625
57626.0098330100	5088122.6250000000	2301.4299316406
57626.0484326400	5082360.5625000000	2296.4299316406
57626.0507359700	5086719.2500000000	2297.2451171875
57626.0530393100	5088139.8750000000	2297.4919433594
57626.0553422700	5087822.8750000000	2297.2519531250
57626.0576456000	5088796.8750000000	2297.6547851562
57626.0599489400	5088262.3125000000	2297.5961914062
57626.0622519000	5086854.7500000000	2297.3481445312
57626.0645552300	5084501.3750000000	2296.7460937500
57626.0668585700	5087556.5625000000	2297.3684082031
57626.0691619000	5089915.1250000000	2297.8320312500
57626.0714648600	5089804.3125000000	2298.4775390625
57626.0737682000	5088421.5625000000	2299.9785156250
57626.0760715300	5085659.7500000000	2300.7419433594
