Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	6145456.0625000000	2487.2836914062
57625.7916270800	6154506.2500000000	2488.9875488281
57625.7939304200	6168533.3125000000	2491.6887207031
57625.7962333800	6165373.1875000000	2491.1247558594
57625.7985367100	6170205.2500000000	2492.0629882812
57625.8008400500	6170466.1875000000	2492.1618652344
57625.8031433800	6173990.5625000000	2492.7944335938
57625.8054463400	6169528.5625000000	2492.4414062500
57625.8077496800	6177599.2500000000	2495.0495605469
57625.8100530100	6180722.9375000000	2496.9648437500
57625.8123563400	6183561.1875000000	2498.3361816406
57625.8144007900	5166850.9375000000	2286.3989257812
57625.8497289400	6173957.5625000000	2492.9372558594
57625.8520322700	6177490.8750000000	2493.5979003906
57625.8543352300	6179706.5625000000	2494.0417480469
57625.8566385700	6182078.8125000000	2494.4367675781
57625.8589419000	6175771.7500000000	2493.1328125000
57625.8612452300	6178371.6250000000	2493.5886230469
57625.8635482000	6179383.9375000000	2493.8859863281
57625.8658515300	6176310.8125000000	2493.2375488281
57625.8681548600	6180101.0625000000	2494.0354003906
57625.8704582000	6180054.0625000000	2494.0810546875
57625.8727611600	6179525.7500000000	2494.7609863281
57625.8750644900	6183412.8750000000	2496.5241699219
57625.8773678300	6178205.7500000000	2497.6132812500
57625.9159674600	6116410.6875000000	2481.6916503906
57625.9182704200	6114612.4375000000	2481.3635253906
57625.9205737500	6116869.6875000000	2481.6386718750
57625.9228770800	6122019.4375000000	2482.6730957031
57625.9251804200	6116286.8750000000	2481.5727539062
57625.9274833800	6118752.6875000000	2482.0092773438
57625.9297867100	6117466.2500000000	2481.6528320312
57625.9320900500	6120985.6250000000	2482.4694824219
57625.9343933800	6122934.0625000000	2482.7661132812
57625.9366963400	6116600.8125000000	2481.7509765625
57625.9389996800	6120289.3125000000	2482.9316406250
57625.9413030100	6123826.5000000000	2484.8989257812
57625.9436063400	6117974.4375000000	2484.9255371094
57625.9821941200	6115741.5625000000	2481.6843261719
57625.9844974600	6124107.9375000000	2483.0395507812
57625.9868007900	6126069.2500000000	2483.6142578125
57625.9891037500	6124462.6250000000	2483.1625976562
57625.9914070800	6129267.3125000000	2484.0217285156
57625.9937104200	6125713.0000000000	2483.4531250000
57625.9960137500	6139669.3750000000	2485.9975585938
57625.9983167100	6156137.7500000000	2489.3701171875
57626.0006200500	6161446.8125000000	2490.4655761719
57626.0029233800	6164779.8750000000	2490.9787597656
57626.0052267100	6177246.8750000000	2493.9890136719
57626.0075296800	6176686.6875000000	2495.6904296875
57626.0098330100	6177062.6875000000	2496.8457031250
57626.0484326400	6170061.1250000000	2492.3303222656
57626.0507359700	6175256.1250000000	2493.1972656250
57626.0530393100	6176365.0625000000	2493.3073730469
57626.0553422700	6176062.5625000000	2493.1320800781
57626.0576456000	6177681.1875000000	2493.4211425781
57626.0599489400	6176621.7500000000	2493.2568359375
57626.0622519000	6173587.9375000000	2492.6743164062
57626.0645552300	6174779.5625000000	2493.0297851562
57626.0668585700	6178123.3125000000	2493.6308593750
57626.0691619000	6175880.4375000000	2493.2419433594
57626.0714648600	6173461.6250000000	2493.2705078125
57626.0737682000	6173648.6250000000	2494.7744140625
57626.0760715300	6173574.0000000000	2495.9191894531
