Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	6198482.8125000000	2497.3940429688
57625.7916270800	6204831.1250000000	2498.7180175781
57625.7939304200	6212929.1875000000	2500.1345214844
57625.7962333800	6222652.8750000000	2501.9521484375
57625.7985367100	6222769.0625000000	2502.0617675781
57625.8008400500	6222952.7500000000	2502.1589355469
57625.8031433800	6225444.8125000000	2502.7851562500
57625.8054463400	6239761.4375000000	2505.8254394531
57625.8077496800	6227710.6875000000	2504.7463378906
57625.8100530100	6235921.3750000000	2507.4077148438
57625.8123563400	6232774.6250000000	2507.8369140625
57625.8144007900	5205289.8750000000	2294.4157714844
57625.8497289400	6224002.8125000000	2502.6103515625
57625.8520322700	6225599.1875000000	2502.6960449219
57625.8543352300	6228131.1875000000	2503.1318359375
57625.8566385700	6236345.0625000000	2504.5615234375
57625.8589419000	6225810.3125000000	2502.5180664062
57625.8612452300	6232943.3125000000	2504.0021972656
57625.8635482000	6232345.8125000000	2503.9418945312
57625.8658515300	6225911.1875000000	2502.8435058594
57625.8681548600	6227506.8750000000	2503.0715332031
57625.8704582000	6231439.6250000000	2503.9479980469
57625.8727611600	6238728.5625000000	2505.8195800781
57625.8750644900	6227876.6875000000	2505.0473632812
57625.8773678300	6228249.0000000000	2507.0407714844
57625.9159674600	6165758.2500000000	2491.1848144531
57625.9182704200	6162056.8125000000	2490.4458007812
57625.9205737500	6166098.1250000000	2491.1489257812
57625.9228770800	6171824.0625000000	2492.2668457031
57625.9251804200	6169783.5000000000	2491.7133789062
57625.9274833800	6169845.8750000000	2491.8715820312
57625.9297867100	6169437.6875000000	2491.7695312500
57625.9320900500	6168579.4375000000	2491.5349121094
57625.9343933800	6168121.4375000000	2491.2480468750
57625.9366963400	6169593.5000000000	2491.8623046875
57625.9389996800	6170364.3750000000	2492.3889160156
57625.9413030100	6166780.0000000000	2493.1330566406
57625.9436063400	6168031.6250000000	2494.6308593750
57625.9821941200	6162057.4375000000	2490.3798828125
57625.9844974600	6170340.5625000000	2491.7878417969
57625.9868007900	6169256.6875000000	2491.7180175781
57625.9891037500	6175067.4375000000	2492.9133300781
57625.9914070800	6177224.9375000000	2493.1765136719
57625.9937104200	6180616.1250000000	2493.9108886719
57625.9960137500	6189721.5000000000	2495.5883789062
57625.9983167100	6197641.3125000000	2497.1914062500
57626.0006200500	6212128.1250000000	2500.0864257812
57626.0029233800	6219900.6875000000	2501.4357910156
57626.0052267100	6225250.2500000000	2503.2707519531
57626.0075296800	6225445.8125000000	2504.9294433594
57626.0098330100	6224120.1250000000	2505.8442382812
57626.0484326400	6214869.5625000000	2500.6870117188
57626.0507359700	6217531.9375000000	2501.1777343750
57626.0530393100	6220154.7500000000	2501.5183105469
57626.0553422700	6221066.6250000000	2501.7263183594
57626.0576456000	6225988.5000000000	2502.6420898438
57626.0599489400	6219298.3750000000	2501.3757324219
57626.0622519000	6222297.4375000000	2501.8637695312
57626.0645552300	6224145.0000000000	2502.4401855469
57626.0668585700	6223637.6875000000	2502.2580566406
57626.0691619000	6224204.3750000000	2502.2900390625
57626.0714648600	6221352.3750000000	2502.3339843750
57626.0737682000	6223290.5625000000	2504.3408203125
57626.0760715300	6222915.8750000000	2505.3320312500
