Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	4899592.0625000000	2267.4313964844
57449.4495046500	4905211.8750000000	2268.4731445312
57449.4518079800	4910101.6250000000	2269.0139160156
57449.4541113100	4910599.5000000000	2268.8151855469
57449.4564142800	4918689.6250000000	2270.4492187500
57449.4587176100	4916643.7500000000	2269.8854980469
57449.4610209400	4917551.4375000000	2270.3813476562
57449.4633242800	4918242.5000000000	2270.4321289062
57449.4656272400	4920147.5625000000	2270.3442382812
57449.4676720500	4141694.0000000000	2084.6110839844
57449.5054305700	4917711.3750000000	2274.8283691406
57449.5077339100	4921745.8125000000	2274.3981933594
57449.5100372400	4917167.0000000000	2272.4853515625
57449.5123402000	4924258.2500000000	2273.1984863281
57449.5146435400	4924727.4375000000	2272.7114257812
57449.5169468700	4922033.6250000000	2272.0705566406
57449.5192502000	4924006.4375000000	2272.3261718750
57449.5215531700	4920815.0000000000	2271.2019042969
57449.5238565000	4924821.9375000000	2272.0676269531
57449.5261598300	4925217.5625000000	2272.1970214844
57449.5284631700	4930712.6875000000	2273.2104492188
57449.5307661300	4927331.8750000000	2272.0751953125
57449.5330694600	4923237.6875000000	2271.0681152344
57449.5716690900	4873984.5000000000	2264.6860351562
57449.5739724200	4873105.0000000000	2263.1975097656
57449.5762753900	4878578.5625000000	2263.6635742188
57449.5785787200	4873038.6250000000	2261.7329101562
57449.5808820500	4876566.6250000000	2261.9746093750
57449.5831853900	4877805.9375000000	2261.9008789062
57449.5854883500	4876269.5000000000	2261.1787109375
57449.5877916800	4876452.3750000000	2261.3398437500
57449.5900950200	4871597.7500000000	2260.3857421875
57449.5923983500	4876330.7500000000	2261.2619628906
57449.5947013100	4876299.8750000000	2261.4250488281
57449.5970046500	4868300.8125000000	2259.1936035156
57449.5993079800	4875923.3125000000	2260.6193847656
57449.6378957600	4870051.1250000000	2263.6975097656
57449.6401990900	4877212.8125000000	2263.9912109375
57449.6425024200	4873867.2500000000	2262.7421875000
57449.6448057600	4875350.2500000000	2262.2399902344
57449.6471087200	4876071.9375000000	2261.7043457031
57449.6494120500	4878266.2500000000	2261.7707519531
57449.6517153900	4878419.3750000000	2261.7324218750
57449.6540187200	4876668.4375000000	2261.1665039062
57449.6563216800	4874461.5625000000	2260.5832519531
57449.6586250200	4876746.7500000000	2261.5358886719
57449.6609283500	4879471.6875000000	2262.0791015625
57449.6632316800	4877458.6250000000	2261.2678222656
57449.6655346500	4876710.4375000000	2260.7041015625
57449.7041342800	4913578.6875000000	2274.9724121094
57449.7064376100	4912215.1250000000	2272.7343750000
57449.7087409400	4919978.2500000000	2272.8037109375
57449.7110439100	4916561.8750000000	2271.5773925781
57449.7133472400	4917737.8125000000	2271.4836425781
57449.7156505700	4921639.3125000000	2271.6330566406
57449.7179539100	4919151.7500000000	2270.6755371094
57449.7202568700	4918474.0625000000	2270.3176269531
57449.7225602000	4912617.3125000000	2269.3068847656
57449.7248635400	4918827.1250000000	2270.6213378906
57449.7271668700	4919803.5625000000	2271.0405273438
57449.7294698300	4920902.8125000000	2270.7399902344
