Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	6150603.8125000000	2497.0568847656
57625.7916270800	6159484.0625000000	2498.8115234375
57625.7939304200	6166036.0000000000	2500.1484375000
57625.7962333800	6191830.7500000000	2505.0654296875
57625.7985367100	6174426.7500000000	2501.6298828125
57625.8008400500	6177434.8125000000	2502.3891601562
57625.8031433800	6176754.6875000000	2502.2155761719
57625.8054463400	6182047.4375000000	2503.6884765625
57625.8077496800	6179404.1250000000	2504.2932128906
57625.8100530100	6182669.0000000000	2506.2690429688
57625.8123563400	6188399.5625000000	2508.3059082031
57625.8144007900	5168381.8750000000	2295.1013183594
57625.8497289400	6176715.2500000000	2502.3562011719
57625.8520322700	6178249.0625000000	2502.6433105469
57625.8543352300	6181920.1250000000	2503.2170410156
57625.8566385700	6183807.3750000000	2503.5759277344
57625.8589419000	6183260.8750000000	2503.4873046875
57625.8612452300	6186604.3750000000	2504.0751953125
57625.8635482000	6187558.9375000000	2504.2363281250
57625.8658515300	6189835.2500000000	2504.6831054688
57625.8681548600	6192395.8125000000	2505.2463378906
57625.8704582000	6184309.1875000000	2503.9414062500
57625.8727611600	6197463.6875000000	2506.9074707031
57625.8750644900	6182671.3125000000	2505.6313476562
57625.8773678300	6183332.4375000000	2507.3247070312
57625.9159674600	6121599.8125000000	2491.7587890625
57625.9182704200	6121982.3750000000	2491.4794921875
57625.9205737500	6124516.5625000000	2492.0422363281
57625.9228770800	6122957.8125000000	2491.7900390625
57625.9251804200	6128167.1875000000	2492.7939453125
57625.9274833800	6124923.5625000000	2491.9809570312
57625.9297867100	6127232.1875000000	2492.4074707031
57625.9320900500	6124736.3125000000	2491.8640136719
57625.9343933800	6123670.8125000000	2491.8911132812
57625.9366963400	6124252.5625000000	2492.0446777344
57625.9389996800	6130901.6875000000	2493.7907714844
57625.9413030100	6126293.7500000000	2494.3205566406
57625.9436063400	6126231.0625000000	2495.6032714844
57625.9821941200	6123412.9375000000	2491.9360351562
57625.9844974600	6126390.5000000000	2492.3537597656
57625.9868007900	6125965.6875000000	2492.1723632812
57625.9891037500	6133528.3750000000	2493.7751464844
57625.9914070800	6132413.8750000000	2493.4748535156
57625.9937104200	6136655.0000000000	2494.2631835938
57625.9960137500	6144972.0625000000	2496.0507812500
57625.9983167100	6150204.2500000000	2497.0175781250
57626.0006200500	6166623.8125000000	2500.1301269531
57626.0029233800	6179298.2500000000	2502.7883300781
57626.0052267100	6191548.5625000000	2505.7302246094
57626.0075296800	6178213.4375000000	2504.8129882812
57626.0098330100	6181054.1875000000	2506.5085449219
57626.0484326400	6183275.7500000000	2503.6335449219
57626.0507359700	6184567.7500000000	2503.7912597656
57626.0530393100	6178545.7500000000	2502.6215820312
57626.0553422700	6180095.8750000000	2502.9282226562
57626.0576456000	6185341.8750000000	2503.9589843750
57626.0599489400	6178205.9375000000	2502.5556640625
57626.0622519000	6186390.6250000000	2504.0939941406
57626.0645552300	6182540.3750000000	2503.3190917969
57626.0668585700	6182626.0625000000	2503.3229980469
57626.0691619000	6184033.3750000000	2503.7331542969
57626.0714648600	6184705.3750000000	2504.1337890625
57626.0737682000	6186447.8125000000	2506.2883300781
57626.0760715300	6186946.1250000000	2507.4284667969
