Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	93338479.1875000000	9757.7841796875
57625.7916270800	93528921.6250000000	9767.2031250000
57625.7939304200	93654563.6875000000	9773.7988281250
57625.7962333800	93746070.8750000000	9778.2177734375
57625.7985367100	93757741.6250000000	9778.7939453125
57625.8008400500	93796617.8750000000	9781.0361328125
57625.8031433800	93819863.0000000000	9782.1894531250
57625.8054463400	93884110.5625000000	9787.3037109375
57625.8077496800	93884657.5000000000	9792.0410156250
57625.8100530100	93913643.6250000000	9799.0517578125
57625.8123563400	93923762.1875000000	9803.2607421875
57625.8144007900	78577422.5000000000	8977.3212890625
57625.8497289400	93858719.8125000000	9784.7871093750
57625.8520322700	93853979.8750000000	9784.2128906250
57625.8543352300	93887429.8125000000	9785.4755859375
57625.8566385700	93923078.5625000000	9787.0429687500
57625.8589419000	93906334.4375000000	9786.3955078125
57625.8612452300	93933705.2500000000	9787.7646484375
57625.8635482000	93939730.3750000000	9788.1933593750
57625.8658515300	93927850.2500000000	9787.5039062500
57625.8681548600	93947589.1875000000	9788.5595703125
57625.8704582000	93955533.4375000000	9789.6396484375
57625.8727611600	93987241.8125000000	9793.4091796875
57625.8750644900	93936359.6875000000	9796.7939453125
57625.8773678300	93920263.6875000000	9803.3105468750
57625.9159674600	92970549.8750000000	9739.9638671875
57625.9182704200	92988855.4375000000	9740.6396484375
57625.9205737500	92999286.5000000000	9740.9394531250
57625.9228770800	93026812.8750000000	9742.2109375000
57625.9251804200	93027482.5000000000	9742.1884765625
57625.9274833800	93018099.8750000000	9741.4853515625
57625.9297867100	93016313.7500000000	9741.2958984375
57625.9320900500	93025107.5000000000	9741.8701171875
57625.9343933800	93020805.5625000000	9741.7099609375
57625.9366963400	93020633.8750000000	9742.1201171875
57625.9389996800	93036124.8125000000	9744.9843750000
57625.9413030100	93021959.7500000000	9749.9628906250
57625.9436063400	93023915.0625000000	9755.4726562500
57625.9821941200	93007622.6250000000	9741.8232421875
57625.9844974600	93049541.3125000000	9743.1748046875
57625.9868007900	93076281.2500000000	9744.8525390625
57625.9891037500	93109091.3125000000	9746.3281250000
57625.9914070800	93132548.5625000000	9747.2607421875
57625.9937104200	93171693.6875000000	9749.6367187500
57625.9960137500	93335100.7500000000	9757.5830078125
57625.9983167100	93491925.9375000000	9765.3652343750
57626.0006200500	93658262.9375000000	9773.9833984375
57626.0029233800	93790404.0625000000	9780.8066406250
57626.0052267100	93889744.9375000000	9788.2314453125
57626.0075296800	93912616.2500000000	9796.2197265625
57626.0098330100	93902392.3750000000	9800.8125000000
57626.0484326400	93806216.6250000000	9782.1474609375
57626.0507359700	93826042.7500000000	9782.6210937500
57626.0530393100	93838632.3750000000	9783.1445312500
57626.0553422700	93865551.6250000000	9784.1748046875
57626.0576456000	93886063.6250000000	9785.5634765625
57626.0599489400	93854179.5000000000	9783.7187500000
57626.0622519000	93873838.0000000000	9784.5625000000
57626.0645552300	93855111.6875000000	9783.9970703125
57626.0668585700	93870104.9375000000	9784.7031250000
57626.0691619000	93893654.0000000000	9785.8164062500
57626.0714648600	93874613.1250000000	9786.9648437500
57626.0737682000	93895621.6875000000	9794.7626953125
57626.0760715300	93903342.5625000000	9799.7500000000
