Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	6124245.5625000000	2523.9733886719
57449.4495046500	6131909.4375000000	2525.0949707031
57449.4518079800	6130703.6875000000	2524.5371093750
57449.4541113100	6137618.3750000000	2525.5830078125
57449.4564142800	6139317.8750000000	2525.8264160156
57449.4587176100	6144056.5625000000	2526.5451660156
57449.4610209400	6142329.6250000000	2526.4287109375
57449.4633242800	6146220.2500000000	2527.0690917969
57449.4656272400	6148573.4375000000	2527.1452636719
57449.4676720500	5135253.7500000000	2311.4501953125
57449.5054305700	6143493.8750000000	2530.8959960938
57449.5077339100	6138813.3750000000	2528.6254882812
57449.5100372400	6146325.2500000000	2529.1416015625
57449.5123402000	6145271.8125000000	2528.4155273438
57449.5146435400	6144794.7500000000	2527.8894042969
57449.5169468700	6147363.3750000000	2528.0791015625
57449.5192502000	6143809.4375000000	2527.3178710938
57449.5215531700	6148432.8125000000	2527.8493652344
57449.5238565000	6148974.3750000000	2527.8552246094
57449.5261598300	6146763.2500000000	2527.5971679688
57449.5284631700	6143837.8750000000	2526.9958496094
57449.5307661300	6144182.0000000000	2526.5849609375
57449.5330694600	6143589.1875000000	2526.2983398438
57449.5716690900	6091165.8125000000	2519.8745117188
57449.5739724200	6087249.0625000000	2518.1123046875
57449.5762753900	6085021.0625000000	2516.9562988281
57449.5785787200	6087736.5000000000	2516.8693847656
57449.5808820500	6087765.7500000000	2516.2597656250
57449.5831853900	6091470.2500000000	2516.7358398438
57449.5854883500	6086470.4375000000	2515.5625000000
57449.5877916800	6081336.6250000000	2514.5583496094
57449.5900950200	6089172.8125000000	2515.9968261719
57449.5923983500	6088018.8125000000	2516.0861816406
57449.5947013100	6088673.4375000000	2515.9450683594
57449.5970046500	6085940.3125000000	2515.0817871094
57449.5993079800	6086806.8125000000	2515.0085449219
57449.6378957600	6081698.3125000000	2518.0891113281
57449.6401990900	6081926.6875000000	2517.0124511719
57449.6425024200	6083857.3750000000	2516.6306152344
57449.6448057600	6090516.6875000000	2517.3366699219
57449.6471087200	6087471.8750000000	2516.2114257812
57449.6494120500	6084552.2500000000	2515.2553710938
57449.6517153900	6084678.5625000000	2514.9797363281
57449.6540187200	6090096.1875000000	2516.3469238281
57449.6563216800	6091580.7500000000	2516.4001464844
57449.6586250200	6089810.8750000000	2516.2255859375
57449.6609283500	6090979.9375000000	2516.6123046875
57449.6632316800	6090804.9375000000	2516.1289062500
57449.6655346500	6093784.3125000000	2516.4223632812
57449.7041342800	6138340.8125000000	2530.3879394531
57449.7064376100	6139842.4375000000	2528.9321289062
57449.7087409400	6140481.5000000000	2527.9855957031
57449.7110439100	6135541.5625000000	2526.4345703125
57449.7133472400	6141749.0625000000	2527.3515625000
57449.7156505700	6142150.5000000000	2526.6787109375
57449.7179539100	6139885.6250000000	2526.0861816406
57449.7202568700	6140572.0625000000	2526.2158203125
57449.7225602000	6144779.3125000000	2526.7910156250
57449.7248635400	6143281.6875000000	2526.6223144531
57449.7271668700	6139994.8125000000	2526.1767578125
57449.7294698300	6139467.9375000000	2525.6887207031
