Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	5781888.9375000000	2444.1647949219
57625.7916270800	5793999.0000000000	2446.6013183594
57625.7939304200	5798939.5000000000	2447.6420898438
57625.7962333800	5802730.8750000000	2448.4494628906
57625.7985367100	5805068.1875000000	2448.7751464844
57625.8008400500	5813149.1250000000	2450.5537109375
57625.8031433800	5806935.7500000000	2449.2431640625
57625.8054463400	5818068.0000000000	2452.0517578125
57625.8077496800	5811733.8125000000	2451.8635253906
57625.8100530100	5816527.8750000000	2454.2380371094
57625.8123563400	5818509.1250000000	2455.6186523438
57625.8144007900	4868282.0000000000	2248.9484863281
57625.8497289400	5812952.5625000000	2450.8117675781
57625.8520322700	5813998.1875000000	2450.7175292969
57625.8543352300	5818628.2500000000	2451.6423339844
57625.8566385700	5817227.5000000000	2451.3188476562
57625.8589419000	5817432.6250000000	2451.4016113281
57625.8612452300	5819591.6875000000	2451.9196777344
57625.8635482000	5817743.3125000000	2451.4538574219
57625.8658515300	5819129.5000000000	2451.7778320312
57625.8681548600	5832286.0625000000	2454.3376464844
57625.8704582000	5826634.4375000000	2453.4948730469
57625.8727611600	5819968.7500000000	2452.6455078125
57625.8750644900	5819779.1875000000	2454.1618652344
57625.8773678300	5817971.3125000000	2455.5781250000
57625.9159674600	5761023.3125000000	2440.1086425781
57625.9182704200	5764362.0000000000	2440.7502441406
57625.9205737500	5761650.9375000000	2440.1799316406
57625.9228770800	5761576.5625000000	2440.0253906250
57625.9251804200	5763775.5000000000	2440.4226074219
57625.9274833800	5766911.5625000000	2440.9963378906
57625.9297867100	5763878.2500000000	2440.4519042969
57625.9320900500	5760694.5625000000	2439.7485351562
57625.9343933800	5768258.8125000000	2441.2773437500
57625.9366963400	5760776.6875000000	2439.9367675781
57625.9389996800	5765507.7500000000	2441.4147949219
57625.9413030100	5765751.3125000000	2442.8657226562
57625.9436063400	5764474.5000000000	2443.8593750000
57625.9821941200	5764646.6250000000	2440.8774414062
57625.9844974600	5766961.8125000000	2441.1198730469
57625.9868007900	5769956.5625000000	2441.8903808594
57625.9891037500	5770049.3125000000	2441.6728515625
57625.9914070800	5773953.0000000000	2442.4067382812
57625.9937104200	5776192.1250000000	2442.9772949219
57625.9960137500	5783824.3125000000	2444.5061035156
57625.9983167100	5795145.6250000000	2446.7145996094
57626.0006200500	5806264.5625000000	2449.1601562500
57626.0029233800	5813335.2500000000	2450.6818847656
57626.0052267100	5820282.1250000000	2452.6096191406
57626.0075296800	5820357.3125000000	2454.4208984375
57626.0098330100	5830083.6250000000	2457.5346679688
57626.0484326400	5814672.1250000000	2451.0620117188
57626.0507359700	5820539.5625000000	2451.9382324219
57626.0530393100	5819813.6250000000	2451.9602050781
57626.0553422700	5817632.0000000000	2451.4350585938
57626.0576456000	5822836.5000000000	2452.7292480469
57626.0599489400	5824088.8125000000	2452.7031250000
57626.0622519000	5821098.0000000000	2452.0520019531
57626.0645552300	5823477.1875000000	2452.6970214844
57626.0668585700	5818398.5000000000	2451.5651855469
57626.0691619000	5820792.0625000000	2451.9775390625
57626.0714648600	5822561.8125000000	2453.0102539062
57626.0737682000	5826036.3125000000	2455.3574218750
57626.0760715300	5831837.3750000000	2457.6149902344
