Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	5316855.8750000000	2347.0217285156
57625.7916270800	5327342.7500000000	2349.2673339844
57625.7939304200	5331896.0000000000	2350.3579101562
57625.7962333800	5340487.1875000000	2352.0588378906
57625.7985367100	5340799.8125000000	2352.0634765625
57625.8008400500	5340977.6250000000	2352.2890625000
57625.8031433800	5344307.8750000000	2352.8193359375
57625.8054463400	5359993.1875000000	2356.7431640625
57625.8077496800	5349795.7500000000	2355.7346191406
57625.8100530100	5346027.5625000000	2356.5825195312
57625.8123563400	5353339.5000000000	2358.9389648438
57625.8144007900	4495144.5625000000	2164.5065917969
57625.8497289400	5347757.6875000000	2353.7485351562
57625.8520322700	5354151.8750000000	2355.0673828125
57625.8543352300	5351625.8125000000	2354.4926757812
57625.8566385700	5355275.2500000000	2355.1953125000
57625.8589419000	5355240.5625000000	2355.1840820312
57625.8612452300	5352461.2500000000	2354.7353515625
57625.8635482000	5351786.5000000000	2354.4875488281
57625.8658515300	5357290.0625000000	2355.7673339844
57625.8681548600	5353071.5000000000	2354.7944335938
57625.8704582000	5356097.7500000000	2355.5556640625
57625.8727611600	5354439.6250000000	2355.8559570312
57625.8750644900	5355141.3750000000	2357.5637207031
57625.8773678300	5350794.2500000000	2358.4968261719
57625.9159674600	5302106.8750000000	2344.0642089844
57625.9182704200	5306659.5625000000	2344.9536132812
57625.9205737500	5308297.0625000000	2345.2365722656
57625.9228770800	5308359.0625000000	2345.2744140625
57625.9251804200	5302674.6875000000	2344.1704101562
57625.9274833800	5306669.6250000000	2344.7543945312
57625.9297867100	5306451.1875000000	2344.6677246094
57625.9320900500	5303617.1250000000	2344.1696777344
57625.9343933800	5304765.4375000000	2344.3828125000
57625.9366963400	5306908.6875000000	2345.1127929688
57625.9389996800	5304981.7500000000	2345.1777343750
57625.9413030100	5306903.8750000000	2346.9965820312
57625.9436063400	5306714.5000000000	2348.3503417969
57625.9821941200	5307120.1250000000	2345.2456054688
57625.9844974600	5306548.6250000000	2344.9704589844
57625.9868007900	5310486.6250000000	2345.8107910156
57625.9891037500	5310080.5000000000	2345.5590820312
57625.9914070800	5307623.6250000000	2345.0961914062
57625.9937104200	5314336.4375000000	2346.6955566406
57625.9960137500	5325120.6875000000	2348.8339843750
57625.9983167100	5331960.1250000000	2350.1489257812
57626.0006200500	5341359.4375000000	2352.2778320312
57626.0029233800	5346977.5000000000	2353.4360351562
57626.0052267100	5352715.1875000000	2355.4282226562
57626.0075296800	5359081.3125000000	2358.4140625000
57626.0098330100	5358275.8125000000	2359.6437988281
57626.0484326400	5352739.0625000000	2354.8322753906
57626.0507359700	5349808.8750000000	2354.1760253906
57626.0530393100	5355211.6250000000	2355.3276367188
57626.0553422700	5357403.9375000000	2355.4831542969
57626.0576456000	5355627.7500000000	2355.3125000000
57626.0599489400	5359856.7500000000	2356.2280273438
57626.0622519000	5356134.0625000000	2355.3110351562
57626.0645552300	5353563.9375000000	2354.7949218750
57626.0668585700	5356416.0000000000	2355.4084472656
57626.0691619000	5357209.1250000000	2355.6401367188
57626.0714648600	5359703.8750000000	2356.6455078125
57626.0737682000	5359003.3125000000	2358.2260742188
57626.0760715300	5360142.8750000000	2359.8647460938
