Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	6353298.5625000000	2527.2866210938
57625.7916270800	6361481.1875000000	2528.8547363281
57625.7939304200	6372344.5000000000	2530.9448242188
57625.7962333800	6378249.2500000000	2532.0354003906
57625.7985367100	6379286.0000000000	2532.2766113281
57625.8008400500	6375858.6250000000	2531.7321777344
57625.8031433800	6382737.4375000000	2533.0371093750
57625.8054463400	6398632.8125000000	2536.4704589844
57625.8077496800	6391175.9375000000	2536.0712890625
57625.8100530100	6390924.3750000000	2537.3994140625
57625.8123563400	6387870.8125000000	2537.6901855469
57625.8144007900	5339028.6875000000	2322.5776367188
57625.8497289400	6383472.8750000000	2533.4252929688
57625.8520322700	6382114.0000000000	2532.8974609375
57625.8543352300	6381241.6250000000	2532.7678222656
57625.8566385700	6387084.6250000000	2533.5625000000
57625.8589419000	6386343.4375000000	2533.6391601562
57625.8612452300	6388501.0625000000	2533.9921875000
57625.8635482000	6392476.6250000000	2534.8259277344
57625.8658515300	6385171.1250000000	2533.4353027344
57625.8681548600	6384162.7500000000	2533.4323730469
57625.8704582000	6392275.1250000000	2534.9645996094
57625.8727611600	6382395.2500000000	2533.5173339844
57625.8750644900	6385024.0000000000	2535.3203125000
57625.8773678300	6388959.3125000000	2537.9836425781
57625.9159674600	6318466.3750000000	2520.7907714844
57625.9182704200	6320170.6875000000	2521.2055664062
57625.9205737500	6322935.5000000000	2521.4689941406
57625.9228770800	6327351.1875000000	2522.3979492188
57625.9251804200	6319734.3750000000	2520.8332519531
57625.9274833800	6321388.0625000000	2521.0581054688
57625.9297867100	6325599.0000000000	2521.9826660156
57625.9320900500	6325849.9375000000	2521.9716796875
57625.9343933800	6322134.5000000000	2521.2177734375
57625.9366963400	6326970.5000000000	2522.3393554688
57625.9389996800	6326114.9375000000	2522.5581054688
57625.9413030100	6324398.5625000000	2523.7021484375
57625.9436063400	6325731.2500000000	2525.2045898438
57625.9821941200	6319292.6250000000	2520.9650878906
57625.9844974600	6324782.8750000000	2521.5654296875
57625.9868007900	6329162.6250000000	2522.7241210938
57625.9891037500	6332601.8750000000	2523.4174804688
57625.9914070800	6334509.7500000000	2523.7553710938
57625.9937104200	6334169.0000000000	2523.7700195312
57625.9960137500	6344727.1875000000	2525.6918945312
57625.9983167100	6356808.7500000000	2527.9812011719
57626.0006200500	6364328.9375000000	2529.4379882812
57626.0029233800	6373938.5625000000	2531.3879394531
57626.0052267100	6379364.6250000000	2533.0686035156
57626.0075296800	6385866.5625000000	2535.7470703125
57626.0098330100	6381110.2500000000	2536.0773925781
57626.0484326400	6375151.1875000000	2531.6635742188
57626.0507359700	6375767.8750000000	2531.8020019531
57626.0530393100	6374620.2500000000	2531.3395996094
57626.0553422700	6377652.1250000000	2531.9924316406
57626.0576456000	6377412.7500000000	2531.9921875000
57626.0599489400	6381236.8125000000	2532.7253417969
57626.0622519000	6375641.7500000000	2531.5346679688
57626.0645552300	6376009.1875000000	2531.7290039062
57626.0668585700	6380193.0625000000	2532.4108886719
57626.0691619000	6376927.1875000000	2531.7819824219
57626.0714648600	6377118.0000000000	2532.4030761719
57626.0737682000	6376250.0000000000	2533.6569824219
57626.0760715300	6379360.5625000000	2535.4421386719
