Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	5622686.8125000000	2422.6206054688
57449.4495046500	5625223.9375000000	2422.8574218750
57449.4518079800	5631199.5625000000	2423.5576171875
57449.4541113100	5638524.6250000000	2424.7739257812
57449.4564142800	5636212.7500000000	2424.1650390625
57449.4587176100	5640266.6875000000	2424.9755859375
57449.4610209400	5627253.3750000000	2422.0600585938
57449.4633242800	5644633.0000000000	2425.7434082031
57449.4656272400	5643099.3125000000	2425.1464843750
57449.4676720500	4739970.1875000000	2224.1462402344
57449.5054305700	5639916.6250000000	2429.4038085938
57449.5077339100	5641698.8750000000	2428.3708496094
57449.5100372400	5643629.1875000000	2427.8039550781
57449.5123402000	5640889.3750000000	2426.5292968750
57449.5146435400	5643606.8125000000	2426.7663574219
57449.5169468700	5643047.8125000000	2426.2458496094
57449.5192502000	5638098.6250000000	2425.2849121094
57449.5215531700	5643679.0625000000	2426.0002441406
57449.5238565000	5644383.5625000000	2425.9436035156
57449.5261598300	5644574.6250000000	2426.2087402344
57449.5284631700	5642463.7500000000	2425.6118164062
57449.5307661300	5643988.0000000000	2425.7775878906
57449.5330694600	5648653.5625000000	2426.2434082031
57449.5716690900	5590885.8750000000	2418.8115234375
57449.5739724200	5588100.3125000000	2416.9938964844
57449.5762753900	5587715.8750000000	2416.0983886719
57449.5785787200	5593630.9375000000	2416.3413085938
57449.5808820500	5588076.3125000000	2414.7639160156
57449.5831853900	5592445.7500000000	2415.3706054688
57449.5854883500	5591433.3750000000	2415.0541992188
57449.5877916800	5589509.2500000000	2414.6865234375
57449.5900950200	5584313.3125000000	2413.7416992188
57449.5923983500	5591649.1875000000	2415.2951660156
57449.5947013100	5589459.6875000000	2415.0275878906
57449.5970046500	5588705.0625000000	2414.1735839844
57449.5993079800	5591002.7500000000	2414.3981933594
57449.6378957600	5581255.5625000000	2416.6801757812
57449.6401990900	5581052.0625000000	2415.3723144531
57449.6425024200	5586975.9375000000	2415.8493652344
57449.6448057600	5583941.0625000000	2414.6655273438
57449.6471087200	5587556.0000000000	2414.7690429688
57449.6494120500	5587976.5625000000	2414.4660644531
57449.6517153900	5591108.1250000000	2415.1225585938
57449.6540187200	5596169.3125000000	2416.0446777344
57449.6563216800	5590734.5625000000	2414.9287109375
57449.6586250200	5594614.5625000000	2415.9289550781
57449.6609283500	5593434.6875000000	2415.8283691406
57449.6632316800	5587048.8750000000	2413.9763183594
57449.6655346500	5593252.9375000000	2414.8835449219
57449.7041342800	5634494.6875000000	2428.9187011719
57449.7064376100	5634424.3750000000	2427.0974121094
57449.7087409400	5632415.0625000000	2425.3620605469
57449.7110439100	5639720.5625000000	2426.2468261719
57449.7133472400	5640144.0000000000	2426.1774902344
57449.7156505700	5635265.5625000000	2424.4216308594
57449.7179539100	5634233.0625000000	2423.8740234375
57449.7202568700	5640358.9375000000	2425.0283203125
57449.7225602000	5635749.2500000000	2424.0354003906
57449.7248635400	5648061.2500000000	2426.8278808594
57449.7271668700	5636111.0625000000	2424.4809570312
57449.7294698300	5638740.6875000000	2424.6062011719
