Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	5594158.0625000000	2405.6086425781
57625.7916270800	5602433.9375000000	2407.1948242188
57625.7939304200	5610035.1875000000	2408.8439941406
57625.7962333800	5610925.8125000000	2408.9562988281
57625.7985367100	5618521.5000000000	2410.5666503906
57625.8008400500	5616990.3750000000	2410.4462890625
57625.8031433800	5626711.1875000000	2412.4494628906
57625.8054463400	5625816.8750000000	2412.6662597656
57625.8077496800	5623968.6875000000	2413.5090332031
57625.8100530100	5624332.4375000000	2414.9238281250
57625.8123563400	5622521.5625000000	2415.4023437500
57625.8144007900	4712597.8125000000	2214.1210937500
57625.8497289400	5624297.0625000000	2411.7644042969
57625.8520322700	5624086.3750000000	2411.8889160156
57625.8543352300	5625609.6875000000	2412.1657714844
57625.8566385700	5626508.6250000000	2412.1870117188
57625.8589419000	5624241.1875000000	2411.8010253906
57625.8612452300	5627038.2500000000	2412.5102539062
57625.8635482000	5626489.9375000000	2412.2534179688
57625.8658515300	5624299.5625000000	2411.8706054688
57625.8681548600	5627943.2500000000	2412.6218261719
57625.8704582000	5624852.1875000000	2412.1291503906
57625.8727611600	5626442.3750000000	2413.0126953125
57625.8750644900	5631362.8750000000	2415.5664062500
57625.8773678300	5627908.1875000000	2416.7094726562
57625.9159674600	5567038.0000000000	2400.0402832031
57625.9182704200	5571752.7500000000	2400.9885253906
57625.9205737500	5574537.4375000000	2401.6149902344
57625.9228770800	5575966.3750000000	2401.7578125000
57625.9251804200	5573222.2500000000	2401.2290039062
57625.9274833800	5574380.5625000000	2401.3530273438
57625.9297867100	5568257.6875000000	2400.0944824219
57625.9320900500	5571331.2500000000	2400.8439941406
57625.9343933800	5569201.0625000000	2400.3303222656
57625.9366963400	5577425.3125000000	2402.1791992188
57625.9389996800	5574503.5625000000	2402.2204589844
57625.9413030100	5569005.1875000000	2402.5642089844
57625.9436063400	5576835.9375000000	2405.3225097656
57625.9821941200	5573275.4375000000	2401.3583984375
57625.9844974600	5575546.1875000000	2401.7739257812
57625.9868007900	5577092.4375000000	2402.0148925781
57625.9891037500	5580157.0000000000	2402.6674804688
57625.9914070800	5578848.4375000000	2402.3374023438
57625.9937104200	5579634.2500000000	2402.6638183594
57625.9960137500	5588487.1250000000	2404.3410644531
57625.9983167100	5602829.1250000000	2407.2749023438
57626.0006200500	5613419.6250000000	2409.4838867188
57626.0029233800	5617949.3125000000	2410.5908203125
57626.0052267100	5620058.0625000000	2411.4233398438
57626.0075296800	5628210.7500000000	2414.9042968750
57626.0098330100	5621944.2500000000	2415.0129394531
57626.0484326400	5623097.0000000000	2411.5844726562
57626.0507359700	5621578.6250000000	2411.3039550781
57626.0530393100	5626172.5000000000	2412.3208007812
57626.0553422700	5625302.0000000000	2411.9389648438
57626.0576456000	5628351.3125000000	2412.6342773438
57626.0599489400	5624896.8125000000	2411.8937988281
57626.0622519000	5628387.1875000000	2412.5190429688
57626.0645552300	5622284.1875000000	2411.4201660156
57626.0668585700	5625518.1875000000	2412.2153320312
57626.0691619000	5632710.2500000000	2413.5786132812
57626.0714648600	5621648.3125000000	2411.8220214844
57626.0737682000	5631317.0000000000	2415.4423828125
57626.0760715300	5626816.3125000000	2415.8525390625
