Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	5607529.6250000000	2408.1665039062
57625.7916270800	5612631.8125000000	2409.1704101562
57625.7939304200	5621227.5000000000	2410.9941406250
57625.7962333800	5628549.4375000000	2412.4311523438
57625.7985367100	5630619.3750000000	2412.8923339844
57625.8008400500	5636975.5000000000	2414.3159179688
57625.8031433800	5637349.9375000000	2414.4455566406
57625.8054463400	5640239.5000000000	2415.4533691406
57625.8077496800	5639344.8125000000	2416.5083007812
57625.8100530100	5648044.5625000000	2419.7761230469
57625.8123563400	5639623.2500000000	2418.6711425781
57625.8144007900	4722177.9375000000	2216.0598144531
57625.8497289400	5641157.8750000000	2415.4016113281
57625.8520322700	5635350.0625000000	2413.9663085938
57625.8543352300	5641556.5000000000	2415.1154785156
57625.8566385700	5640263.5625000000	2415.0397949219
57625.8589419000	5639742.1875000000	2414.9121093750
57625.8612452300	5641791.1875000000	2415.3547363281
57625.8635482000	5640164.1250000000	2414.9296875000
57625.8658515300	5641110.2500000000	2415.1533203125
57625.8681548600	5649748.6250000000	2416.8874511719
57625.8704582000	5639798.1875000000	2415.0456542969
57625.8727611600	5639451.5625000000	2415.4785156250
57625.8750644900	5645335.0625000000	2418.2746582031
57625.8773678300	5636596.1250000000	2418.3020019531
57625.9159674600	5582269.9375000000	2402.8947753906
57625.9182704200	5585665.1875000000	2403.6948242188
57625.9205737500	5580343.5625000000	2402.7072753906
57625.9228770800	5587184.7500000000	2403.9599609375
57625.9251804200	5587329.7500000000	2404.0815429688
57625.9274833800	5587457.7500000000	2404.0388183594
57625.9297867100	5582954.1875000000	2402.9018554688
57625.9320900500	5584500.1875000000	2403.4360351562
57625.9343933800	5585189.5000000000	2403.4746093750
57625.9366963400	5582705.4375000000	2403.1232910156
57625.9389996800	5590599.4375000000	2405.2770996094
57625.9413030100	5588297.5625000000	2406.3222656250
57625.9436063400	5585848.0625000000	2406.9648437500
57625.9821941200	5585040.0000000000	2403.5246582031
57625.9844974600	5580762.0625000000	2402.6201171875
57625.9868007900	5588915.1875000000	2404.4128417969
57625.9891037500	5584723.9375000000	2403.5141601562
57625.9914070800	5590534.0625000000	2404.5522460938
57625.9937104200	5592277.8125000000	2405.1201171875
57625.9960137500	5605855.9375000000	2407.8281250000
57625.9983167100	5612627.8750000000	2409.2312011719
57626.0006200500	5620731.6250000000	2410.9882812500
57626.0029233800	5632204.9375000000	2413.3305664062
57626.0052267100	5637472.2500000000	2414.9206542969
57626.0075296800	5637582.9375000000	2416.7167968750
57626.0098330100	5637468.0000000000	2418.0583496094
57626.0484326400	5634161.2500000000	2413.8537597656
57626.0507359700	5635158.1250000000	2413.8825683594
57626.0530393100	5635484.0000000000	2413.7880859375
57626.0553422700	5636008.8125000000	2413.9765625000
57626.0576456000	5637514.6250000000	2414.4614257812
57626.0599489400	5636425.4375000000	2414.0290527344
57626.0622519000	5633599.6250000000	2413.5056152344
57626.0645552300	5634204.7500000000	2413.8171386719
57626.0668585700	5637127.3125000000	2414.3395996094
57626.0691619000	5639972.4375000000	2414.9631347656
57626.0714648600	5637430.2500000000	2414.9631347656
57626.0737682000	5649078.1875000000	2418.9553222656
57626.0760715300	5636476.6875000000	2417.5585937500
