Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	6333053.2500000000	2524.1237792969
57625.7916270800	6373280.0625000000	2532.0561523438
57625.7939304200	6381212.8750000000	2533.5441894531
57625.7962333800	6392358.0000000000	2535.6950683594
57625.7985367100	6392191.0000000000	2535.6489257812
57625.8008400500	6392016.9375000000	2535.5878906250
57625.8031433800	6390657.6875000000	2535.4377441406
57625.8054463400	6397230.3750000000	2537.1166992188
57625.8077496800	6391876.0000000000	2537.1354980469
57625.8100530100	6395399.4375000000	2539.1518554688
57625.8123563400	6397296.0625000000	2540.4091796875
57625.8144007900	5367931.8125000000	2329.1372070312
57625.8497289400	6396951.3125000000	2536.7421875000
57625.8520322700	6387518.6250000000	2535.0241699219
57625.8543352300	6392472.3750000000	2535.6926269531
57625.8566385700	6400870.1250000000	2537.2658691406
57625.8589419000	6398579.3125000000	2536.9018554688
57625.8612452300	6396180.1250000000	2536.4323730469
57625.8635482000	6400153.0625000000	2537.2514648438
57625.8658515300	6406793.1250000000	2538.3146972656
57625.8681548600	6406086.5625000000	2538.3100585938
57625.8704582000	6402366.6250000000	2537.8754882812
57625.8727611600	6398389.5625000000	2537.5476074219
57625.8750644900	6395880.9375000000	2538.5568847656
57625.8773678300	6402794.1250000000	2541.4218750000
57625.9159674600	6333044.6875000000	2524.4392089844
57625.9182704200	6332277.8750000000	2524.2854003906
57625.9205737500	6340529.5625000000	2525.9414062500
57625.9228770800	6337965.9375000000	2525.4230957031
57625.9251804200	6339286.1875000000	2525.5671386719
57625.9274833800	6336174.6250000000	2524.9667968750
57625.9297867100	6336951.1250000000	2525.0488281250
57625.9320900500	6336965.3125000000	2524.9506835938
57625.9343933800	6336847.0000000000	2525.2097167969
57625.9366963400	6335518.1875000000	2524.8610839844
57625.9389996800	6334459.0000000000	2525.2478027344
57625.9413030100	6335246.2500000000	2526.6486816406
57625.9436063400	6337808.2500000000	2528.4626464844
57625.9821941200	6339812.6875000000	2525.7470703125
57625.9844974600	6341535.1875000000	2525.9382324219
57625.9868007900	6343511.6250000000	2526.3625488281
57625.9891037500	6348984.0625000000	2527.3381347656
57625.9914070800	6344842.5625000000	2526.6347656250
57625.9937104200	6346956.0625000000	2527.0261230469
57625.9960137500	6359737.2500000000	2529.6206054688
57625.9983167100	6375621.2500000000	2532.4223632812
57626.0006200500	6382675.9375000000	2533.8977050781
57626.0029233800	6384539.1250000000	2534.2351074219
57626.0052267100	6396903.6250000000	2537.2294921875
57626.0075296800	6396117.0000000000	2538.6203613281
57626.0098330100	6402030.5000000000	2540.9326171875
57626.0484326400	6390413.6250000000	2535.4560546875
57626.0507359700	6396106.5000000000	2536.5329589844
57626.0530393100	6394979.6250000000	2536.3366699219
57626.0553422700	6398171.2500000000	2536.7673339844
57626.0576456000	6398496.3750000000	2536.9033203125
57626.0599489400	6398176.5625000000	2536.8742675781
57626.0622519000	6401229.9375000000	2537.4665527344
57626.0645552300	6398360.0000000000	2536.9096679688
57626.0668585700	6393017.9375000000	2535.8796386719
57626.0691619000	6402110.7500000000	2537.6372070312
57626.0714648600	6406717.1250000000	2538.8894042969
57626.0737682000	6400795.2500000000	2539.4455566406
57626.0760715300	6401091.6875000000	2540.4702148438
