Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	6036175.5000000000	2495.6574707031
57625.7916270800	6048413.6250000000	2497.9987792969
57625.7939304200	6048292.1250000000	2498.0932617188
57625.7962333800	6063421.5000000000	2501.0290527344
57625.7985367100	6061646.1875000000	2500.6052246094
57625.8008400500	6059070.0625000000	2500.2458496094
57625.8031433800	6060905.5000000000	2500.6462402344
57625.8054463400	6064939.5625000000	2501.7592773438
57625.8077496800	6067963.4375000000	2503.6945800781
57625.8100530100	6068893.1250000000	2505.1950683594
57625.8123563400	6069843.6250000000	2506.2502441406
57625.8144007900	5065692.2500000000	2292.2878417969
57625.8497289400	6066440.1875000000	2501.7124023438
57625.8520322700	6069349.5625000000	2502.3596191406
57625.8543352300	6071865.0625000000	2502.5725097656
57625.8566385700	6070682.7500000000	2502.4729003906
57625.8589419000	6073198.2500000000	2502.9521484375
57625.8612452300	6070883.0000000000	2502.5964355469
57625.8635482000	6071056.0000000000	2502.6518554688
57625.8658515300	6073122.0625000000	2502.9865722656
57625.8681548600	6070991.0000000000	2502.5610351562
57625.8704582000	6072585.0000000000	2503.1181640625
57625.8727611600	6087943.0000000000	2506.5231933594
57625.8750644900	6070604.8750000000	2504.5769042969
57625.8773678300	6066489.3125000000	2505.5075683594
57625.9159674600	6010243.1875000000	2490.6845703125
57625.9182704200	6009501.2500000000	2490.4453125000
57625.9205737500	6009832.6250000000	2490.4797363281
57625.9228770800	6006150.8125000000	2489.6530761719
57625.9251804200	6012791.4375000000	2491.0114746094
57625.9274833800	6009649.0000000000	2490.3076171875
57625.9297867100	6011836.1875000000	2490.5627441406
57625.9320900500	6010338.8125000000	2490.4511718750
57625.9343933800	6012027.5000000000	2490.7255859375
57625.9366963400	6009402.7500000000	2490.3288574219
57625.9389996800	6012663.3125000000	2491.5261230469
57625.9413030100	6010585.9375000000	2492.4597167969
57625.9436063400	6012630.4375000000	2494.2915039062
57625.9821941200	6011606.6250000000	2490.8840332031
57625.9844974600	6016108.7500000000	2491.5012207031
57625.9868007900	6012958.8125000000	2490.9704589844
57625.9891037500	6018494.6875000000	2492.0747070312
57625.9914070800	6015799.5000000000	2491.4877929688
57625.9937104200	6025440.5625000000	2493.4135742188
57625.9960137500	6028818.8125000000	2494.0949707031
57625.9983167100	6039034.5000000000	2496.1948242188
57626.0006200500	6054690.8125000000	2499.2248535156
57626.0029233800	6063519.6250000000	2501.1093750000
57626.0052267100	6065950.3125000000	2502.1342773438
57626.0075296800	6065963.1250000000	2503.8771972656
57626.0098330100	6063998.1875000000	2504.6296386719
57626.0484326400	6065496.0625000000	2501.4538574219
57626.0507359700	6065142.2500000000	2501.3525390625
57626.0530393100	6065619.8750000000	2501.4074707031
57626.0553422700	6066508.9375000000	2501.6960449219
57626.0576456000	6067832.0625000000	2501.8217773438
57626.0599489400	6062977.2500000000	2500.8896484375
57626.0622519000	6066656.5000000000	2501.5939941406
57626.0645552300	6067891.9375000000	2501.9978027344
57626.0668585700	6069620.1875000000	2502.3901367188
57626.0691619000	6065889.9375000000	2501.5085449219
57626.0714648600	6068529.9375000000	2502.4980468750
57626.0737682000	6065370.8125000000	2503.5278320312
57626.0760715300	6068407.7500000000	2505.2714843750
