Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	5487229.3125000000	2365.3330078125
57449.4495046500	5498944.1875000000	2367.4807128906
57449.4518079800	5504442.0000000000	2368.1171875000
57449.4541113100	5505691.4375000000	2368.1074218750
57449.4564142800	5504310.3125000000	2367.5449218750
57449.4587176100	5511565.0625000000	2369.2702636719
57449.4610209400	5516341.6250000000	2370.2033691406
57449.4633242800	5516897.1875000000	2370.1984863281
57449.4656272400	5511145.6875000000	2368.7731933594
57449.4676720500	4614764.7500000000	2168.7258300781
57449.5054305700	5510488.8125000000	2373.3674316406
57449.5077339100	5514338.0000000000	2372.8232421875
57449.5100372400	5512039.5625000000	2371.3994140625
57449.5123402000	5515871.1875000000	2371.5551757812
57449.5146435400	5515674.8750000000	2370.9782714844
57449.5169468700	5512954.1875000000	2370.1904296875
57449.5192502000	5515674.7500000000	2370.4375000000
57449.5215531700	5516865.8750000000	2370.5449218750
57449.5238565000	5513091.0000000000	2369.6674804688
57449.5261598300	5521210.5000000000	2371.4333496094
57449.5284631700	5514807.7500000000	2370.3198242188
57449.5307661300	5512015.4375000000	2369.1508789062
57449.5330694600	5518093.2500000000	2370.0151367188
57449.5716690900	5466459.8125000000	2363.8269042969
57449.5739724200	5463292.8125000000	2361.8791503906
57449.5762753900	5458790.0625000000	2360.2019042969
57449.5785787200	5461910.2500000000	2360.2602539062
57449.5808820500	5460278.7500000000	2359.1276855469
57449.5831853900	5459575.7500000000	2358.9072265625
57449.5854883500	5464712.0000000000	2359.6738281250
57449.5877916800	5462224.5625000000	2359.1816406250
57449.5900950200	5458276.1250000000	2358.6687011719
57449.5923983500	5463146.9375000000	2359.5056152344
57449.5947013100	5458451.0000000000	2358.6662597656
57449.5970046500	5458881.6875000000	2358.0988769531
57449.5993079800	5458198.9375000000	2357.6650390625
57449.6378957600	5450867.9375000000	2360.3669433594
57449.6401990900	5455791.3750000000	2360.3310546875
57449.6425024200	5456530.0000000000	2359.6276855469
57449.6448057600	5452905.8125000000	2358.2265625000
57449.6471087200	5465690.8750000000	2360.4812011719
57449.6494120500	5461620.3750000000	2359.1901855469
57449.6517153900	5458442.8750000000	2358.1689453125
57449.6540187200	5456565.6250000000	2357.9389648438
57449.6563216800	5459612.6875000000	2358.5534667969
57449.6586250200	5458972.5625000000	2358.7270507812
57449.6609283500	5463474.2500000000	2359.6496582031
57449.6632316800	5471103.2500000000	2360.7961425781
57449.6655346500	5471466.1875000000	2360.7263183594
57449.7041342800	5501015.7500000000	2372.1657714844
57449.7064376100	5501126.3125000000	2370.5334472656
57449.7087409400	5506088.0625000000	2369.9565429688
57449.7110439100	5500928.4375000000	2368.4821777344
57449.7133472400	5503991.8125000000	2368.6879882812
57449.7156505700	5502140.8125000000	2367.9477539062
57449.7179539100	5504118.2500000000	2367.7329101562
57449.7202568700	5504818.5625000000	2367.8977050781
57449.7225602000	5509271.1250000000	2368.7558593750
57449.7248635400	5508467.9375000000	2368.7187500000
57449.7271668700	5507878.6875000000	2368.7578125000
57449.7294698300	5506508.7500000000	2367.9328613281
