Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	5800794.5000000000	2418.4882812500
57625.7916270800	5814787.0625000000	2421.2104492188
57625.7939304200	5823146.6250000000	2422.9616699219
57625.7962333800	5821650.3750000000	2422.7292480469
57625.7985367100	5821053.2500000000	2422.5371093750
57625.8008400500	5828043.0625000000	2424.0385742188
57625.8031433800	5832285.2500000000	2424.8281250000
57625.8054463400	5831773.9375000000	2425.2592773438
57625.8077496800	5837295.6250000000	2427.4389648438
57625.8100530100	5838734.8750000000	2428.9941406250
57625.8123563400	5838543.6875000000	2430.0178222656
57625.8144007900	4872468.6875000000	2222.4206542969
57625.8497289400	5822827.8125000000	2423.2258300781
57625.8520322700	5826448.8125000000	2423.6911621094
57625.8543352300	5830969.4375000000	2424.6774902344
57625.8566385700	5835045.0625000000	2425.4504394531
57625.8589419000	5831132.7500000000	2424.5908203125
57625.8612452300	5832785.0000000000	2424.9238281250
57625.8635482000	5838717.9375000000	2426.2189941406
57625.8658515300	5833822.1250000000	2425.1303710938
57625.8681548600	5835689.3750000000	2425.4987792969
57625.8704582000	5834759.5000000000	2425.4191894531
57625.8727611600	5839915.7500000000	2427.1103515625
57625.8750644900	5839005.6875000000	2428.3632812500
57625.8773678300	5833520.2500000000	2428.9765625000
57625.9159674600	5776661.6250000000	2413.9494628906
57625.9182704200	5774150.1875000000	2413.1655273438
57625.9205737500	5772112.5000000000	2412.7644042969
57625.9228770800	5777336.5000000000	2413.6528320312
57625.9251804200	5776007.8125000000	2413.5607910156
57625.9274833800	5778159.7500000000	2413.8020019531
57625.9297867100	5777230.7500000000	2413.6958007812
57625.9320900500	5772541.0000000000	2412.7685546875
57625.9343933800	5775795.1875000000	2413.4177246094
57625.9366963400	5778041.0625000000	2414.0314941406
57625.9389996800	5775176.5000000000	2413.8461914062
57625.9413030100	5771038.3750000000	2414.4003906250
57625.9436063400	5774063.5000000000	2416.4743652344
57625.9821941200	5772303.1250000000	2412.9509277344
57625.9844974600	5775719.9375000000	2413.5678710938
57625.9868007900	5783510.3125000000	2415.0729980469
57625.9891037500	5782044.9375000000	2414.7563476562
57625.9914070800	5782319.5625000000	2414.7302246094
57625.9937104200	5782122.3125000000	2414.8249511719
57625.9960137500	5802718.8125000000	2418.9333496094
57625.9983167100	5803057.8125000000	2418.8703613281
57626.0006200500	5814604.8750000000	2421.2812500000
57626.0029233800	5824515.8125000000	2423.3378906250
57626.0052267100	5826679.9375000000	2424.3190917969
57626.0075296800	5827672.6875000000	2426.1840820312
57626.0098330100	5828188.5625000000	2427.5627441406
57626.0484326400	5823606.8125000000	2423.2900390625
57626.0507359700	5821724.6875000000	2422.6809082031
57626.0530393100	5823335.1250000000	2423.0317382812
57626.0553422700	5827466.5625000000	2423.7907714844
57626.0576456000	5825925.7500000000	2423.6147460938
57626.0599489400	5819533.0625000000	2422.3027343750
57626.0622519000	5824385.5625000000	2423.2512207031
57626.0645552300	5824084.6250000000	2423.1303710938
57626.0668585700	5824029.5625000000	2423.2988281250
57626.0691619000	5823118.1875000000	2423.1625976562
57626.0714648600	5825718.8125000000	2424.0441894531
57626.0737682000	5826089.5625000000	2425.7094726562
57626.0760715300	5827425.1250000000	2427.0898437500
